perRounds, Wins,
1, 0.900000,
2, 0.600000,
3, 0.600000,
4, 0.900000,
5, 0.800000,
6, 0.900000,
7, 0.800000,
8, 0.800000,
9, 0.400000,
10, 0.700000,
11, 0.700000,
12, 0.700000,
13, 0.800000,
14, 0.700000,
15, 0.800000,
16, 0.500000,
17, 0.700000,
18, 0.600000,
19, 0.700000,
20, 0.700000,
21, 0.800000,
22, 0.600000,
23, 0.600000,
24, 0.800000,
25, 0.900000,
26, 0.700000,
27, 0.900000,
28, 0.700000,
29, 0.700000,
30, 0.900000,
31, 0.700000,
32, 0.900000,
33, 0.800000,
34, 0.700000,
35, 0.800000,
36, 0.900000,
37, 0.900000,
38, 0.800000,
39, 0.600000,
40, 0.700000,
41, 0.700000,
42, 0.700000,
43, 0.700000,
44, 0.600000,
45, 0.800000,
46, 0.900000,
47, 1.000000,
48, 0.800000,
49, 0.700000,
50, 0.800000,
51, 0.900000,
52, 0.400000,
53, 0.800000,
54, 0.700000,
55, 0.600000,
56, 0.700000,
57, 0.800000,
58, 0.600000,
59, 0.400000,
60, 0.800000,
61, 0.700000,
62, 0.800000,
63, 0.500000,
64, 0.500000,
65, 0.700000,
66, 0.600000,
67, 0.800000,
68, 0.700000,
69, 0.600000,
70, 0.600000,
71, 0.600000,
72, 0.400000,
73, 0.400000,
74, 0.500000,
75, 0.600000,
76, 0.500000,
77, 0.700000,
78, 0.900000,
79, 0.900000,
80, 0.700000,
81, 0.500000,
82, 0.800000,
83, 0.600000,
84, 0.700000,
85, 0.900000,
86, 0.400000,
87, 0.600000,
88, 0.700000,
89, 0.900000,
90, 0.600000,
91, 0.600000,
92, 0.800000,
93, 0.400000,
94, 0.900000,
95, 0.500000,
96, 0.500000,
97, 0.800000,
98, 0.700000,
99, 0.800000,
100, 0.400000,
101, 0.600000,
102, 0.700000,
103, 0.500000,
104, 0.500000,
105, 0.400000,
106, 0.300000,
107, 0.500000,
108, 0.600000,
109, 0.500000,
110, 0.600000,
111, 0.500000,
112, 0.400000,
113, 0.500000,
114, 0.400000,
115, 0.400000,
116, 0.400000,
117, 0.500000,
118, 0.400000,
119, 0.500000,
120, 0.500000,
121, 0.500000,
122, 0.700000,
123, 0.800000,
124, 0.700000,
125, 0.700000,
126, 0.900000,
127, 0.800000,
128, 0.800000,
129, 0.900000,
130, 1.000000,
131, 1.000000,
132, 1.000000,
133, 1.000000,
134, 1.000000,
135, 1.000000,
136, 1.000000,
137, 1.000000,
138, 1.000000,
139, 1.000000,
140, 1.000000,
141, 1.000000,
142, 1.000000,
143, 1.000000,
144, 1.000000,
145, 1.000000,
146, 1.000000,
147, 1.000000,
148, 1.000000,
149, 1.000000,
150, 1.000000,
151, 1.000000,
152, 1.000000,
153, 1.000000,
154, 1.000000,
155, 1.000000,
156, 0.800000,
157, 0.800000,
158, 0.700000,
159, 1.000000,
160, 0.700000,
161, 0.900000,
162, 0.800000,
163, 1.000000,
164, 0.900000,
165, 0.900000,
166, 1.000000,
167, 1.000000,
168, 1.000000,
169, 1.000000,
170, 1.000000,
171, 1.000000,
172, 0.400000,
173, 0.800000,
174, 0.800000,
175, 0.800000,
176, 1.000000,
177, 1.000000,
178, 1.000000,
179, 0.900000,
180, 1.000000,
181, 0.900000,
182, 1.000000,
183, 0.800000,
184, 1.000000,
185, 1.000000,
186, 1.000000,
187, 1.000000,
188, 0.900000,
189, 1.000000,
190, 0.900000,
191, 1.000000,
192, 1.000000,
193, 0.900000,
194, 1.000000,
195, 1.000000,
196, 0.800000,
197, 0.700000,
198, 0.900000,
199, 1.000000,
200, 0.900000,
201, 1.000000,
202, 0.800000,
203, 0.900000,
204, 0.700000,
205, 0.700000,
206, 0.400000,
207, 0.700000,
208, 0.800000,
209, 0.600000,
210, 0.700000,
211, 0.400000,
212, 0.600000,
213, 0.700000,
214, 0.300000,
215, 0.300000,
216, 0.700000,
217, 0.600000,
218, 0.600000,
219, 0.800000,
220, 0.400000,
221, 0.700000,
222, 0.500000,
223, 0.700000,
224, 0.600000,
225, 0.400000,
226, 0.700000,
227, 0.700000,
228, 0.600000,
229, 0.300000,
230, 0.500000,
231, 0.700000,
232, 0.500000,
233, 0.700000,
234, 0.600000,
235, 0.600000,
236, 0.400000,
237, 0.400000,
238, 0.200000,
239, 0.400000,
240, 0.700000,
241, 0.500000,
242, 0.500000,
243, 0.500000,
244, 0.500000,
245, 0.600000,
246, 0.300000,
247, 0.500000,
248, 0.500000,
249, 0.500000,
250, 0.400000,
251, 0.500000,
252, 0.900000,
253, 0.800000,
254, 1.000000,
255, 0.900000,
256, 0.800000,
257, 0.900000,
258, 1.000000,
259, 0.900000,
260, 0.900000,
261, 0.700000,
262, 1.000000,
263, 1.000000,
264, 0.900000,
265, 0.900000,
266, 0.900000,
267, 0.700000,
268, 0.700000,
269, 0.900000,
270, 0.700000,
271, 0.900000,
272, 0.800000,
273, 0.800000,
274, 1.000000,
275, 0.900000,
276, 0.800000,
277, 0.700000,
278, 0.800000,
279, 0.800000,
280, 0.700000,
281, 0.800000,
282, 0.900000,
283, 0.900000,
284, 0.900000,
285, 0.600000,
286, 0.800000,
287, 0.800000,
288, 0.900000,
289, 1.000000,
290, 0.800000,
291, 0.700000,
292, 0.600000,
293, 0.400000,
294, 0.400000,
295, 0.700000,
296, 0.700000,
297, 0.800000,
298, 0.800000,
299, 0.700000,
