100 Rounds, Wins,
1, 0.640000,
2, 0.520000,
3, 0.760000,
4, 0.660000,
5, 0.580000,
6, 0.560000,
7, 0.680000,
8, 0.600000,
9, 0.580000,
10, 0.620000,
11, 0.660000,
12, 0.640000,
13, 0.500000,
14, 0.940000,
15, 0.740000,
16, 0.540000,
17, 0.600000,
18, 0.460000,
19, 0.560000,
20, 0.440000,
21, 0.360000,
22, 0.380000,
23, 0.340000,
24, 0.580000,
25, 0.380000,
26, 0.540000,
27, 0.580000,
28, 0.560000,
29, 0.500000,
30, 0.600000,
31, 0.460000,
32, 0.480000,
33, 0.680000,
34, 0.640000,
35, 0.500000,
36, 0.800000,
37, 0.820000,
38, 0.980000,
39, 1.000000,
40, 0.980000,
41, 0.860000,
42, 0.740000,
43, 0.820000,
44, 0.940000,
45, 0.860000,
46, 0.880000,
47, 0.920000,
48, 0.920000,
49, 0.940000,
50, 0.980000,
51, 1.000000,
52, 1.000000,
53, 0.960000,
54, 0.960000,
55, 0.960000,
56, 0.980000,
57, 0.980000,
58, 0.960000,
59, 0.980000,
