per Round, AccumReward,
1, -0.340000,
2, 0.080000,
3, -1.060000,
4, -0.840000,
5, -0.360000,
6, -0.600000,
7, -0.720000,
8, -1.260000,
9, -0.340000,
10, -0.223411,
11, 0.860000,
12, 0.320000,
13, -0.724000,
14, 0.620000,
15, 0.440000,
16, 0.440000,
17, -1.140000,
18, -1.140000,
19, -0.840000,
20, -0.100000,
21, -0.840000,
22, 0.000000,
23, 0.260000,
24, -0.820000,
25, -0.280000,
26, -0.610000,
27, -1.420000,
28, 0.498659,
29, -1.806838,
30, -0.700000,
31, -1.440000,
32, -0.660000,
33, -0.300000,
34, -1.540000,
35, 0.200000,
36, -1.851971,
37, 0.499975,
38, 0.800000,
39, 0.080000,
