100 Rounds, Wins,
1, 0.460000,
2, 0.420000,
3, 0.580000,
4, 0.560000,
5, 0.600000,
6, 0.640000,
7, 0.840000,
8, 0.700000,
9, 0.780000,
10, 0.720000,
11, 0.680000,
12, 0.840000,
13, 0.640000,
14, 0.660000,
15, 0.720000,
16, 0.720000,
17, 0.700000,
18, 0.760000,
19, 0.640000,
20, 0.760000,
21, 0.620000,
22, 0.660000,
23, 0.740000,
24, 0.780000,
25, 0.680000,
26, 0.700000,
27, 0.740000,
28, 0.700000,
29, 0.740000,
30, 0.880000,
31, 0.680000,
32, 0.800000,
33, 0.660000,
34, 0.760000,
35, 0.660000,
36, 0.900000,
37, 0.880000,
38, 0.680000,
39, 0.780000,
