perRounds, Wins,
1, 0.700000,
2, 0.600000,
3, 0.500000,
4, 0.500000,
5, 0.700000,
6, 0.700000,
7, 0.800000,
8, 0.300000,
9, 0.900000,
10, 0.600000,
11, 0.600000,
12, 0.600000,
13, 0.700000,
14, 0.700000,
15, 0.600000,
16, 0.600000,
17, 0.900000,
18, 0.800000,
19, 0.400000,
20, 0.700000,
21, 0.600000,
22, 0.700000,
23, 0.800000,
24, 0.600000,
25, 0.800000,
26, 0.800000,
27, 0.400000,
28, 0.700000,
29, 0.200000,
30, 0.600000,
31, 0.400000,
32, 0.500000,
33, 0.400000,
34, 0.500000,
35, 0.800000,
36, 0.800000,
37, 0.500000,
38, 0.400000,
39, 0.600000,
40, 0.900000,
41, 0.500000,
42, 0.600000,
43, 0.500000,
44, 0.500000,
45, 0.500000,
46, 0.800000,
47, 0.700000,
48, 0.600000,
49, 0.900000,
50, 0.700000,
51, 0.600000,
52, 0.400000,
53, 0.700000,
54, 0.800000,
55, 0.400000,
56, 0.900000,
57, 0.600000,
58, 0.800000,
59, 0.600000,
60, 0.800000,
61, 0.700000,
62, 0.600000,
63, 0.500000,
64, 0.400000,
65, 0.400000,
66, 0.400000,
67, 0.800000,
68, 0.600000,
69, 0.700000,
70, 0.800000,
71, 0.600000,
72, 0.700000,
73, 0.700000,
74, 0.800000,
75, 0.400000,
76, 0.800000,
77, 0.900000,
78, 0.500000,
79, 0.800000,
80, 0.700000,
81, 0.800000,
82, 0.800000,
83, 0.600000,
84, 0.300000,
85, 0.700000,
86, 0.600000,
87, 0.600000,
88, 0.900000,
89, 0.600000,
90, 0.400000,
91, 0.700000,
92, 0.500000,
93, 0.600000,
94, 0.700000,
95, 0.600000,
96, 0.500000,
97, 0.700000,
98, 0.700000,
99, 0.800000,
100, 0.800000,
101, 0.600000,
102, 0.800000,
103, 0.400000,
104, 0.500000,
105, 0.800000,
106, 0.700000,
107, 0.600000,
108, 0.600000,
109, 0.800000,
110, 0.700000,
111, 0.600000,
112, 0.600000,
113, 0.500000,
114, 0.800000,
115, 0.900000,
116, 0.900000,
117, 0.700000,
118, 0.900000,
119, 0.700000,
120, 0.400000,
121, 0.700000,
122, 0.500000,
123, 0.500000,
124, 0.700000,
125, 0.500000,
126, 0.700000,
127, 0.800000,
128, 0.900000,
129, 0.700000,
130, 0.500000,
131, 0.700000,
132, 0.900000,
133, 0.800000,
134, 0.600000,
135, 0.500000,
136, 0.900000,
137, 0.500000,
138, 0.500000,
139, 0.700000,
140, 0.600000,
141, 0.900000,
142, 0.400000,
143, 0.600000,
144, 0.600000,
145, 0.500000,
146, 0.500000,
147, 0.700000,
148, 0.700000,
149, 0.800000,
150, 0.600000,
151, 0.700000,
152, 0.600000,
153, 0.600000,
154, 0.700000,
155, 0.700000,
156, 0.900000,
157, 0.500000,
158, 0.700000,
159, 0.700000,
160, 0.800000,
161, 0.500000,
162, 0.600000,
163, 0.500000,
164, 0.700000,
165, 0.800000,
166, 0.600000,
167, 0.900000,
168, 0.700000,
169, 0.500000,
170, 1.000000,
171, 0.800000,
172, 0.600000,
173, 0.700000,
174, 0.700000,
175, 0.700000,
176, 0.900000,
177, 0.800000,
178, 0.800000,
179, 0.800000,
180, 0.900000,
181, 0.800000,
182, 0.800000,
183, 0.700000,
184, 0.600000,
185, 0.900000,
186, 0.600000,
187, 0.600000,
188, 0.900000,
189, 0.300000,
190, 0.400000,
191, 0.600000,
192, 0.600000,
193, 0.600000,
194, 0.800000,
195, 0.600000,
196, 0.700000,
197, 0.600000,
198, 0.800000,
199, 0.800000,
