per Round, AccumReward,
1, -3.240000,
2, -3.600000,
3, -0.148000,
4, -1.320000,
5, -1.620000,
6, -2.880000,
7, 0.020000,
8, 0.320000,
9, -1.080000,
10, -1.260000,
11, -1.680000,
12, -0.220000,
13, 0.560000,
14, -1.020000,
15, -0.040000,
16, -1.140000,
17, -0.840000,
18, -1.440000,
19, 0.675775,
20, -0.780000,
21, -3.780000,
22, -1.020000,
23, -2.040000,
24, -1.380000,
25, -1.268971,
26, -0.360000,
27, -0.900000,
28, -1.200000,
29, -1.560000,
30, -2.400000,
31, -3.480000,
32, -2.760000,
33, -1.080000,
34, -1.680000,
35, -0.040000,
36, -0.900000,
37, -1.080000,
38, 0.020000,
39, -1.332090,
