perRounds, Wins,
1, 0.100000,
2, 0.000000,
3, 0.200000,
4, 0.200000,
5, 0.100000,
6, 0.000000,
7, 0.200000,
8, 0.200000,
9, 0.300000,
10, 0.300000,
11, 0.200000,
12, 0.500000,
13, 0.300000,
14, 0.600000,
15, 0.400000,
16, 0.300000,
17, 0.300000,
18, 0.000000,
19, 0.300000,
20, 0.300000,
21, 0.300000,
22, 0.300000,
23, 0.200000,
24, 0.300000,
25, 0.300000,
26, 0.100000,
27, 0.200000,
28, 0.300000,
29, 0.300000,
30, 0.400000,
31, 0.400000,
32, 0.200000,
33, 0.300000,
34, 0.200000,
35, 0.700000,
36, 0.400000,
37, 0.200000,
38, 0.100000,
39, 0.400000,
40, 0.400000,
41, 0.400000,
42, 0.600000,
43, 0.100000,
44, 0.300000,
45, 0.400000,
46, 0.400000,
47, 0.200000,
48, 0.400000,
49, 0.300000,
50, 0.100000,
51, 0.200000,
52, 0.200000,
53, 0.500000,
54, 0.400000,
55, 0.400000,
56, 0.600000,
57, 0.200000,
58, 0.300000,
59, 0.400000,
60, 0.400000,
61, 0.200000,
62, 0.100000,
63, 0.300000,
64, 0.100000,
65, 0.400000,
66, 0.600000,
67, 0.300000,
68, 0.400000,
69, 0.300000,
70, 0.400000,
71, 0.500000,
72, 0.300000,
73, 0.300000,
74, 0.400000,
75, 0.300000,
76, 0.700000,
77, 0.500000,
78, 0.200000,
79, 0.300000,
80, 0.300000,
81, 0.500000,
82, 0.200000,
83, 0.200000,
84, 0.600000,
85, 0.200000,
86, 0.300000,
87, 0.400000,
88, 0.500000,
89, 0.300000,
90, 0.300000,
91, 0.400000,
92, 0.200000,
93, 0.300000,
94, 0.300000,
95, 0.400000,
96, 0.400000,
97, 0.400000,
98, 0.500000,
99, 0.400000,
100, 0.400000,
101, 0.500000,
102, 0.600000,
103, 0.500000,
104, 0.100000,
105, 0.200000,
106, 0.100000,
107, 0.400000,
108, 0.200000,
109, 0.300000,
110, 0.400000,
111, 0.300000,
112, 0.200000,
113, 0.500000,
114, 0.400000,
115, 0.400000,
116, 0.200000,
117, 0.400000,
118, 0.300000,
119, 0.200000,
120, 0.300000,
121, 0.600000,
122, 0.200000,
123, 0.500000,
124, 0.300000,
125, 0.400000,
126, 0.400000,
127, 0.200000,
128, 0.700000,
129, 0.200000,
130, 0.500000,
131, 0.300000,
132, 0.300000,
133, 0.100000,
134, 0.200000,
135, 0.300000,
136, 0.500000,
137, 0.400000,
138, 0.100000,
139, 0.500000,
140, 0.200000,
141, 0.400000,
142, 0.200000,
143, 0.400000,
144, 0.300000,
145, 0.300000,
146, 0.300000,
147, 0.500000,
148, 0.200000,
149, 0.300000,
150, 0.200000,
151, 0.300000,
152, 0.300000,
153, 0.300000,
154, 0.400000,
155, 0.300000,
156, 0.200000,
157, 0.300000,
158, 0.300000,
159, 0.500000,
160, 0.200000,
161, 0.500000,
162, 0.200000,
163, 0.400000,
164, 0.200000,
165, 0.400000,
166, 0.400000,
167, 0.600000,
168, 0.500000,
169, 0.400000,
170, 0.200000,
171, 0.600000,
172, 0.400000,
173, 0.200000,
174, 0.600000,
175, 0.300000,
176, 0.200000,
177, 0.300000,
178, 0.300000,
179, 0.400000,
180, 0.100000,
181, 0.300000,
182, 0.400000,
183, 0.400000,
184, 0.500000,
185, 0.400000,
186, 0.400000,
187, 0.400000,
188, 0.500000,
189, 0.500000,
190, 0.200000,
191, 0.700000,
192, 0.200000,
193, 0.300000,
194, 0.300000,
195, 0.200000,
196, 0.400000,
197, 0.100000,
198, 0.500000,
199, 0.500000,
