100 Rounds, Wins,
1, 0.120000,
2, 0.200000,
3, 0.400000,
4, 0.240000,
5, 0.280000,
6, 0.260000,
7, 0.360000,
8, 0.300000,
9, 0.360000,
10, 0.280000,
11, 0.340000,
12, 0.380000,
13, 0.220000,
14, 0.400000,
15, 0.360000,
16, 0.400000,
17, 0.340000,
18, 0.360000,
19, 0.320000,
20, 0.420000,
21, 0.380000,
22, 0.280000,
23, 0.360000,
24, 0.280000,
25, 0.400000,
26, 0.400000,
27, 0.240000,
28, 0.340000,
29, 0.320000,
30, 0.300000,
31, 0.320000,
32, 0.300000,
33, 0.340000,
34, 0.420000,
35, 0.420000,
36, 0.260000,
37, 0.400000,
38, 0.400000,
39, 0.340000,
