per Round, AccumReward,
1, -0.900000,
2, -0.700000,
3, -2.089095,
4, -1.620000,
5, -1.300000,
6, 0.680000,
7, -0.780000,
8, 0.200000,
9, -0.960000,
10, -1.120000,
11, -0.104231,
12, -0.540000,
13, -1.260000,
14, -2.160000,
15, -0.480000,
16, -0.900000,
17, -1.000000,
18, -0.340000,
19, -0.520000,
20, -1.140000,
21, -0.688567,
22, -1.380000,
23, -1.380000,
24, -0.040000,
25, -1.017000,
26, 0.260000,
27, -0.112851,
28, 0.200000,
29, 0.980000,
30, 0.267387,
31, 0.380000,
32, -1.440000,
33, -0.780000,
34, -0.042904,
35, -0.040000,
36, 0.140000,
37, -0.439118,
38, 0.161792,
39, -1.380000,
