perRounds, Wins,
1, 0.200000,
2, 0.700000,
3, 0.200000,
4, 0.600000,
5, 0.300000,
6, 0.300000,
7, 0.800000,
8, 0.500000,
9, 0.500000,
10, 0.700000,
11, 0.400000,
12, 0.400000,
13, 0.300000,
14, 0.100000,
15, 0.600000,
16, 0.500000,
17, 0.400000,
18, 0.400000,
19, 0.600000,
20, 0.500000,
21, 0.500000,
22, 0.400000,
23, 0.400000,
24, 0.500000,
25, 0.600000,
26, 0.800000,
27, 0.400000,
28, 0.800000,
29, 0.600000,
30, 0.500000,
31, 1.000000,
32, 0.800000,
33, 1.000000,
34, 0.700000,
35, 0.800000,
36, 0.500000,
37, 0.700000,
38, 0.600000,
39, 0.700000,
40, 0.600000,
41, 0.800000,
42, 0.600000,
43, 0.900000,
44, 0.500000,
45, 0.600000,
46, 0.400000,
47, 0.600000,
48, 0.500000,
49, 0.400000,
50, 0.800000,
51, 0.700000,
52, 0.800000,
53, 0.900000,
54, 0.500000,
55, 0.500000,
56, 0.900000,
57, 0.200000,
58, 0.700000,
59, 0.500000,
60, 0.500000,
61, 0.800000,
62, 0.700000,
63, 0.800000,
64, 0.700000,
65, 0.500000,
66, 0.700000,
67, 0.700000,
68, 0.900000,
69, 0.600000,
70, 0.700000,
71, 0.900000,
72, 0.700000,
73, 0.800000,
74, 0.600000,
75, 0.600000,
76, 0.600000,
77, 0.700000,
78, 0.900000,
79, 0.800000,
80, 0.700000,
81, 0.700000,
82, 0.700000,
83, 0.800000,
84, 0.800000,
85, 0.800000,
86, 0.600000,
87, 0.700000,
88, 0.600000,
89, 0.600000,
90, 0.600000,
91, 0.900000,
92, 0.900000,
93, 0.800000,
94, 0.900000,
95, 0.800000,
96, 0.600000,
97, 0.600000,
98, 0.700000,
99, 0.900000,
100, 0.900000,
101, 0.800000,
102, 0.600000,
103, 0.600000,
104, 0.400000,
105, 0.600000,
106, 0.900000,
107, 0.800000,
108, 0.800000,
109, 0.800000,
110, 0.600000,
111, 0.800000,
112, 0.900000,
113, 0.800000,
114, 0.800000,
115, 0.600000,
116, 0.700000,
117, 0.800000,
118, 0.800000,
119, 0.700000,
120, 0.600000,
121, 1.000000,
122, 0.900000,
123, 0.700000,
124, 0.900000,
125, 0.700000,
126, 0.700000,
127, 0.800000,
128, 0.800000,
129, 0.800000,
130, 0.800000,
131, 0.600000,
132, 1.000000,
133, 0.900000,
134, 1.000000,
135, 0.800000,
136, 0.900000,
137, 0.800000,
138, 0.800000,
139, 0.800000,
140, 1.000000,
141, 0.900000,
142, 0.700000,
143, 0.900000,
144, 0.800000,
145, 1.000000,
146, 0.800000,
147, 0.900000,
148, 0.800000,
149, 1.000000,
150, 0.900000,
151, 0.800000,
152, 0.900000,
153, 0.800000,
154, 0.800000,
155, 1.000000,
156, 0.800000,
157, 0.800000,
158, 0.600000,
159, 1.000000,
160, 0.700000,
161, 0.900000,
162, 0.700000,
163, 0.800000,
164, 0.700000,
165, 0.800000,
166, 0.800000,
167, 0.800000,
168, 0.700000,
169, 0.800000,
170, 0.500000,
171, 0.900000,
172, 0.700000,
173, 0.600000,
174, 0.700000,
175, 0.900000,
176, 0.600000,
177, 0.800000,
178, 0.900000,
179, 0.900000,
180, 0.700000,
181, 0.900000,
182, 0.900000,
183, 0.700000,
184, 0.800000,
185, 0.900000,
186, 0.800000,
187, 0.800000,
188, 0.800000,
189, 0.700000,
190, 0.900000,
191, 0.600000,
192, 0.800000,
193, 0.800000,
194, 0.700000,
195, 0.700000,
196, 0.900000,
197, 0.400000,
198, 0.600000,
199, 0.800000,
