100 Rounds, Wins,
1, 0.400000,
2, 0.560000,
3, 0.360000,
4, 0.480000,
5, 0.480000,
6, 0.620000,
7, 0.860000,
8, 0.620000,
9, 0.680000,
10, 0.540000,
11, 0.680000,
12, 0.560000,
13, 0.700000,
14, 0.720000,
15, 0.720000,
16, 0.740000,
17, 0.760000,
18, 0.620000,
19, 0.860000,
20, 0.740000,
21, 0.600000,
22, 0.780000,
23, 0.780000,
24, 0.720000,
25, 0.840000,
26, 0.780000,
27, 0.860000,
28, 0.860000,
29, 0.860000,
30, 0.880000,
31, 0.860000,
32, 0.780000,
33, 0.780000,
34, 0.720000,
35, 0.760000,
36, 0.780000,
37, 0.840000,
38, 0.800000,
39, 0.720000,
