per Round, AccumReward,
1, -1.114819,
2, -1.200000,
3, -0.840000,
4, -1.080000,
5, -1.360000,
6, 0.741742,
7, -1.980000,
8, -0.841646,
9, -1.380000,
10, -1.440000,
11, -1.320000,
12, -1.200000,
13, -0.909178,
14, -2.880000,
15, -0.460000,
16, -1.240000,
17, -1.800000,
18, -0.840000,
19, -1.021469,
20, -2.040000,
21, -0.220000,
22, -0.540000,
23, -0.605706,
24, -2.160000,
25, -0.600000,
26, -1.140000,
27, -0.900000,
28, -0.420000,
29, -0.697875,
30, -0.400000,
31, -0.621275,
32, -1.044000,
33, -0.526277,
34, -0.855289,
35, 0.200000,
36, -1.680000,
37, -0.580000,
38, 0.260000,
39, -0.968272,
