perRounds, Wins,
1, 0.300000,
2, 0.200000,
3, 0.300000,
4, 0.200000,
5, 0.300000,
6, 0.700000,
7, 0.400000,
8, 0.500000,
9, 0.200000,
10, 0.400000,
11, 0.200000,
12, 0.400000,
13, 0.300000,
14, 0.200000,
15, 0.500000,
16, 0.500000,
17, 0.300000,
18, 0.200000,
19, 0.600000,
20, 0.500000,
21, 0.500000,
22, 0.200000,
23, 0.200000,
24, 0.100000,
25, 0.500000,
26, 0.500000,
27, 0.400000,
28, 0.500000,
29, 0.400000,
30, 0.500000,
31, 0.300000,
32, 0.300000,
33, 0.400000,
34, 0.500000,
35, 0.200000,
36, 0.300000,
37, 0.600000,
38, 0.300000,
39, 0.100000,
40, 0.300000,
41, 0.100000,
42, 0.500000,
43, 0.500000,
44, 0.400000,
45, 0.600000,
46, 0.100000,
47, 0.500000,
48, 0.500000,
49, 0.400000,
50, 0.200000,
51, 0.400000,
52, 0.300000,
53, 0.200000,
54, 0.500000,
55, 0.200000,
56, 0.200000,
57, 0.300000,
58, 0.200000,
59, 0.900000,
60, 0.200000,
61, 0.600000,
62, 0.400000,
63, 0.400000,
64, 0.000000,
65, 0.500000,
66, 0.400000,
67, 0.100000,
68, 0.500000,
69, 0.300000,
70, 0.100000,
71, 0.300000,
72, 0.200000,
73, 0.300000,
74, 0.200000,
75, 0.500000,
76, 0.200000,
77, 0.300000,
78, 0.400000,
79, 0.500000,
80, 0.600000,
81, 0.300000,
82, 0.200000,
83, 0.400000,
84, 0.200000,
85, 0.100000,
86, 0.300000,
87, 0.500000,
88, 0.400000,
89, 0.400000,
90, 0.100000,
91, 0.300000,
92, 0.500000,
93, 0.400000,
94, 0.300000,
95, 0.200000,
96, 0.400000,
97, 0.500000,
98, 0.300000,
99, 0.500000,
100, 0.400000,
101, 0.400000,
102, 0.400000,
103, 0.500000,
104, 0.400000,
105, 0.500000,
106, 0.300000,
107, 0.200000,
108, 0.200000,
109, 0.300000,
110, 0.200000,
111, 0.500000,
112, 0.400000,
113, 0.300000,
114, 0.200000,
115, 0.400000,
116, 0.200000,
117, 0.200000,
118, 0.500000,
119, 0.400000,
120, 0.400000,
121, 0.300000,
122, 0.300000,
123, 0.500000,
124, 0.300000,
125, 0.300000,
126, 0.200000,
127, 0.400000,
128, 0.400000,
129, 0.200000,
130, 0.300000,
131, 0.500000,
132, 0.700000,
133, 0.200000,
134, 0.200000,
135, 0.400000,
136, 0.300000,
137, 0.600000,
138, 0.200000,
139, 0.500000,
140, 0.000000,
141, 0.300000,
142, 0.300000,
143, 0.200000,
144, 0.300000,
145, 0.200000,
146, 0.100000,
147, 0.400000,
148, 0.200000,
149, 0.500000,
150, 0.200000,
151, 0.500000,
152, 0.300000,
153, 0.400000,
154, 0.200000,
155, 0.200000,
156, 0.300000,
157, 0.600000,
158, 0.300000,
159, 0.200000,
160, 0.200000,
161, 0.400000,
162, 0.100000,
163, 0.300000,
164, 0.000000,
165, 0.700000,
166, 0.500000,
167, 0.300000,
168, 0.500000,
169, 0.600000,
170, 0.300000,
171, 0.300000,
172, 0.400000,
173, 0.200000,
174, 0.200000,
175, 0.400000,
176, 0.400000,
177, 0.300000,
178, 0.500000,
179, 0.500000,
180, 0.500000,
181, 0.400000,
182, 0.400000,
183, 0.400000,
184, 0.400000,
185, 0.400000,
186, 0.300000,
187, 0.400000,
188, 0.400000,
189, 0.700000,
190, 0.300000,
191, 0.000000,
192, 0.300000,
193, 0.400000,
194, 0.300000,
195, 0.200000,
196, 0.400000,
197, 0.200000,
198, 0.500000,
199, 0.500000,
