100 Rounds, Wins,
1, 0.260000,
2, 0.440000,
3, 0.320000,
4, 0.420000,
5, 0.300000,
6, 0.460000,
7, 0.340000,
8, 0.320000,
9, 0.420000,
10, 0.340000,
11, 0.320000,
12, 0.360000,
13, 0.380000,
14, 0.280000,
15, 0.300000,
16, 0.400000,
17, 0.240000,
18, 0.340000,
19, 0.340000,
20, 0.420000,
21, 0.440000,
22, 0.240000,
23, 0.360000,
24, 0.340000,
25, 0.340000,
26, 0.300000,
27, 0.400000,
28, 0.320000,
29, 0.260000,
30, 0.280000,
31, 0.320000,
32, 0.320000,
33, 0.300000,
34, 0.440000,
35, 0.300000,
36, 0.440000,
37, 0.400000,
38, 0.420000,
39, 0.240000,
