per Round, AccumReward,
1, 0.000000,
2, 0.000000,
3, 0.200000,
4, 0.000000,
5, 0.000000,
6, 0.000000,
7, 0.200000,
8, 0.200000,
9, 0.200000,
10, 0.200000,
11, 0.000000,
12, 0.200000,
13, 0.200000,
14, 0.200000,
15, 0.000000,
16, 0.200000,
17, 0.200000,
18, 0.200000,
19, 0.000000,
20, 0.000000,
21, 0.000000,
22, 0.200000,
23, 0.200000,
24, 0.200000,
25, 0.200000,
26, 0.000000,
27, 0.200000,
28, 0.200000,
29, 0.000000,
30, 0.000000,
31, 0.200000,
32, 0.200000,
33, 0.200000,
34, 0.200000,
35, 0.200000,
36, 0.200000,
37, 0.200000,
38, 0.200000,
39, 0.000000,
