perRounds, Wins,
1, 0.400000,
2, 0.300000,
3, 0.300000,
4, 0.200000,
5, 0.500000,
6, 0.200000,
7, 0.400000,
8, 0.700000,
9, 0.400000,
10, 0.400000,
11, 0.500000,
12, 0.700000,
13, 0.600000,
14, 0.500000,
15, 0.400000,
16, 0.600000,
17, 0.500000,
18, 0.300000,
19, 0.500000,
20, 0.400000,
21, 0.800000,
22, 0.500000,
23, 0.500000,
24, 0.500000,
25, 0.400000,
26, 0.400000,
27, 0.700000,
28, 0.600000,
29, 0.300000,
30, 0.300000,
31, 0.700000,
32, 0.800000,
33, 0.700000,
34, 0.600000,
35, 0.800000,
36, 0.500000,
37, 0.700000,
38, 0.600000,
39, 0.600000,
40, 0.700000,
41, 0.300000,
42, 0.900000,
43, 0.700000,
44, 0.300000,
45, 0.700000,
46, 0.800000,
47, 0.600000,
48, 0.600000,
49, 0.500000,
50, 0.400000,
51, 0.500000,
52, 0.500000,
53, 0.500000,
54, 0.500000,
55, 0.300000,
56, 0.800000,
57, 0.800000,
58, 0.700000,
59, 0.800000,
60, 0.700000,
61, 0.700000,
62, 0.600000,
63, 0.500000,
64, 0.600000,
65, 0.800000,
66, 0.900000,
67, 0.700000,
68, 0.400000,
69, 0.900000,
70, 0.800000,
71, 1.000000,
72, 0.600000,
73, 0.800000,
74, 0.700000,
75, 0.600000,
76, 0.800000,
77, 0.500000,
78, 0.900000,
79, 0.600000,
80, 0.600000,
81, 0.800000,
82, 0.700000,
83, 0.800000,
84, 0.600000,
85, 0.800000,
86, 0.500000,
87, 0.500000,
88, 0.800000,
89, 0.600000,
90, 0.700000,
91, 0.600000,
92, 0.700000,
93, 0.400000,
94, 0.700000,
95, 0.800000,
96, 0.400000,
97, 0.700000,
98, 0.900000,
99, 0.700000,
100, 0.500000,
101, 0.700000,
102, 0.400000,
103, 0.600000,
104, 0.800000,
105, 0.500000,
106, 0.500000,
107, 0.600000,
108, 0.700000,
109, 0.600000,
110, 0.700000,
111, 0.600000,
112, 0.900000,
113, 0.800000,
114, 0.500000,
115, 0.900000,
116, 0.600000,
117, 0.600000,
118, 0.600000,
119, 0.600000,
120, 1.000000,
121, 0.600000,
122, 0.700000,
123, 0.700000,
124, 0.700000,
125, 0.800000,
126, 0.800000,
127, 0.600000,
128, 0.600000,
129, 0.500000,
130, 0.600000,
131, 0.900000,
132, 0.600000,
133, 0.400000,
134, 0.500000,
135, 0.900000,
136, 0.600000,
137, 0.600000,
138, 0.700000,
139, 0.600000,
140, 0.700000,
141, 0.700000,
142, 0.500000,
143, 0.700000,
144, 0.600000,
145, 0.800000,
146, 0.700000,
147, 0.800000,
148, 0.700000,
149, 0.700000,
150, 0.800000,
151, 0.600000,
152, 0.800000,
153, 0.700000,
154, 0.600000,
155, 0.700000,
156, 0.900000,
157, 0.800000,
158, 0.500000,
159, 0.900000,
160, 0.700000,
161, 0.700000,
162, 0.700000,
163, 1.000000,
164, 0.500000,
165, 0.900000,
166, 1.000000,
167, 0.400000,
168, 0.800000,
169, 0.700000,
170, 0.800000,
171, 0.500000,
172, 0.700000,
173, 0.500000,
174, 0.800000,
175, 0.700000,
176, 0.500000,
177, 0.400000,
178, 0.500000,
179, 0.800000,
180, 0.800000,
181, 0.300000,
182, 0.600000,
183, 0.900000,
184, 0.700000,
185, 0.800000,
186, 0.600000,
187, 0.600000,
188, 0.700000,
189, 0.700000,
190, 0.700000,
191, 0.700000,
192, 0.800000,
193, 0.900000,
194, 0.800000,
195, 0.700000,
196, 1.000000,
197, 0.600000,
198, 0.900000,
199, 0.900000,
