100 Rounds, Wins,
1, 0.340000,
2, 0.420000,
3, 0.540000,
4, 0.460000,
5, 0.540000,
6, 0.460000,
7, 0.720000,
8, 0.620000,
9, 0.580000,
10, 0.580000,
11, 0.460000,
12, 0.760000,
13, 0.640000,
14, 0.740000,
15, 0.740000,
16, 0.680000,
17, 0.740000,
18, 0.620000,
19, 0.640000,
20, 0.640000,
21, 0.600000,
22, 0.620000,
23, 0.740000,
24, 0.680000,
25, 0.700000,
26, 0.620000,
27, 0.660000,
28, 0.640000,
29, 0.660000,
30, 0.740000,
31, 0.680000,
32, 0.760000,
33, 0.760000,
34, 0.740000,
35, 0.640000,
36, 0.600000,
37, 0.660000,
38, 0.660000,
39, 0.780000,
