per Round, AccumReward,
1, 0.000000,
2, 0.000000,
3, 0.000000,
4, 0.000000,
5, 0.200000,
6, 0.200000,
7, 0.000000,
8, 0.000000,
9, 0.200000,
10, 0.000000,
11, 0.000000,
12, 0.200000,
13, 0.200000,
14, 0.000000,
15, 0.000000,
16, 0.200000,
17, 0.200000,
18, 0.000000,
19, 0.200000,
20, 0.200000,
21, 0.000000,
22, 0.200000,
23, 0.200000,
24, 0.200000,
25, 0.200000,
26, 0.200000,
27, 0.200000,
28, 0.200000,
29, 0.200000,
30, 0.200000,
31, 0.000000,
32, 0.200000,
33, 0.200000,
34, 0.000000,
35, 0.200000,
36, 0.000000,
37, 0.200000,
38, 0.000000,
39, 0.000000,
