perRounds, Wins,
1, 0.200000,
2, 0.400000,
3, 0.300000,
4, 0.500000,
5, 0.500000,
6, 0.400000,
7, 0.200000,
8, 0.200000,
9, 0.400000,
10, 0.800000,
11, 0.500000,
12, 0.300000,
13, 0.300000,
14, 0.300000,
15, 0.400000,
16, 0.700000,
17, 0.300000,
18, 0.700000,
19, 0.700000,
20, 0.700000,
21, 0.400000,
22, 0.600000,
23, 0.400000,
24, 0.800000,
25, 0.500000,
26, 0.500000,
27, 0.400000,
28, 0.300000,
29, 0.900000,
30, 0.500000,
31, 0.800000,
32, 0.400000,
33, 0.700000,
34, 0.600000,
35, 0.600000,
36, 0.500000,
37, 0.600000,
38, 0.600000,
39, 0.500000,
40, 0.600000,
41, 0.500000,
42, 0.700000,
43, 0.700000,
44, 1.000000,
45, 0.800000,
46, 0.700000,
47, 0.800000,
48, 0.500000,
49, 0.800000,
50, 0.600000,
51, 0.500000,
52, 0.700000,
53, 0.600000,
54, 0.600000,
55, 0.600000,
56, 0.600000,
57, 0.500000,
58, 0.700000,
59, 0.900000,
60, 0.700000,
61, 1.000000,
62, 0.600000,
63, 0.500000,
64, 0.600000,
65, 0.700000,
66, 0.700000,
67, 0.800000,
68, 0.400000,
69, 0.800000,
70, 0.700000,
71, 0.700000,
72, 0.600000,
73, 0.600000,
74, 0.800000,
75, 0.500000,
76, 0.800000,
77, 0.600000,
78, 0.700000,
79, 0.800000,
80, 0.700000,
81, 0.800000,
82, 0.700000,
83, 0.900000,
84, 0.700000,
85, 0.900000,
86, 0.600000,
87, 0.800000,
88, 0.600000,
89, 0.700000,
90, 0.800000,
91, 0.800000,
92, 0.500000,
93, 0.500000,
94, 0.800000,
95, 0.600000,
96, 0.600000,
97, 0.400000,
98, 0.400000,
99, 0.800000,
100, 0.800000,
101, 0.800000,
102, 0.800000,
103, 0.800000,
104, 0.700000,
105, 0.800000,
106, 0.600000,
107, 0.800000,
108, 0.500000,
109, 0.800000,
110, 0.800000,
111, 0.800000,
112, 0.700000,
113, 0.600000,
114, 0.700000,
115, 0.700000,
116, 0.600000,
117, 0.600000,
118, 0.800000,
119, 0.800000,
120, 0.800000,
121, 0.900000,
122, 0.500000,
123, 1.000000,
124, 0.800000,
125, 0.700000,
126, 0.800000,
127, 0.700000,
128, 0.800000,
129, 0.800000,
130, 0.500000,
131, 0.800000,
132, 0.700000,
133, 0.600000,
134, 0.600000,
135, 0.800000,
136, 0.600000,
137, 0.800000,
138, 0.600000,
139, 1.000000,
140, 1.000000,
141, 0.600000,
142, 0.800000,
143, 0.600000,
144, 0.800000,
145, 0.900000,
146, 0.700000,
147, 0.600000,
148, 0.700000,
149, 0.700000,
150, 0.600000,
151, 0.800000,
152, 1.000000,
153, 0.400000,
154, 0.700000,
155, 0.700000,
156, 0.700000,
157, 0.700000,
158, 0.600000,
159, 0.600000,
160, 0.700000,
161, 0.500000,
162, 0.800000,
163, 0.800000,
164, 0.700000,
165, 0.700000,
166, 0.700000,
167, 0.400000,
168, 0.900000,
169, 1.000000,
170, 0.800000,
171, 0.900000,
172, 0.700000,
173, 0.600000,
174, 0.900000,
175, 0.900000,
176, 0.600000,
177, 0.900000,
178, 0.500000,
179, 0.800000,
180, 0.700000,
181, 1.000000,
182, 0.600000,
183, 0.400000,
184, 1.000000,
185, 0.900000,
186, 0.600000,
187, 0.600000,
188, 0.700000,
189, 0.700000,
190, 0.600000,
191, 0.700000,
192, 0.600000,
193, 0.800000,
194, 1.000000,
195, 0.600000,
196, 0.600000,
197, 0.700000,
198, 0.800000,
199, 0.700000,
