100 Rounds, Wins,
1, 0.380000,
2, 0.400000,
3, 0.360000,
4, 0.620000,
5, 0.540000,
6, 0.520000,
7, 0.620000,
8, 0.560000,
9, 0.740000,
10, 0.680000,
11, 0.600000,
12, 0.680000,
13, 0.680000,
14, 0.680000,
15, 0.640000,
16, 0.720000,
17, 0.800000,
18, 0.700000,
19, 0.640000,
20, 0.600000,
21, 0.780000,
22, 0.700000,
23, 0.700000,
24, 0.720000,
25, 0.780000,
26, 0.720000,
27, 0.700000,
28, 0.800000,
29, 0.740000,
30, 0.660000,
31, 0.720000,
32, 0.660000,
33, 0.700000,
34, 0.760000,
35, 0.800000,
36, 0.700000,
37, 0.780000,
38, 0.640000,
39, 0.740000,
