perRounds, Wins,
1, 0.500000,
2, 0.300000,
3, 0.400000,
4, 0.400000,
5, 0.300000,
6, 0.400000,
7, 0.100000,
8, 0.300000,
9, 0.300000,
10, 0.200000,
11, 0.600000,
12, 0.600000,
13, 0.800000,
14, 0.600000,
15, 0.700000,
16, 0.600000,
17, 0.400000,
18, 0.500000,
19, 0.600000,
20, 0.300000,
21, 0.600000,
22, 0.500000,
23, 0.400000,
24, 0.600000,
25, 0.600000,
26, 0.700000,
27, 0.500000,
28, 0.300000,
29, 0.600000,
30, 0.500000,
31, 0.600000,
32, 0.700000,
33, 0.600000,
34, 0.700000,
35, 0.700000,
36, 0.700000,
37, 0.600000,
38, 0.600000,
39, 0.600000,
40, 0.800000,
41, 0.700000,
42, 0.500000,
43, 0.800000,
44, 0.900000,
45, 0.700000,
46, 0.700000,
47, 0.600000,
48, 0.700000,
49, 0.800000,
50, 0.700000,
51, 0.700000,
52, 0.600000,
53, 0.700000,
54, 0.800000,
55, 0.900000,
56, 0.800000,
57, 0.700000,
58, 0.800000,
59, 0.700000,
60, 0.700000,
61, 0.800000,
62, 0.900000,
63, 0.600000,
64, 0.700000,
65, 0.600000,
66, 0.700000,
67, 0.800000,
68, 0.700000,
69, 0.700000,
70, 0.800000,
71, 0.300000,
72, 0.500000,
73, 0.900000,
74, 0.900000,
75, 0.500000,
76, 0.800000,
77, 0.800000,
78, 0.900000,
79, 0.600000,
80, 0.400000,
81, 0.900000,
82, 0.900000,
83, 0.800000,
84, 0.600000,
85, 0.700000,
86, 0.900000,
87, 0.600000,
88, 0.800000,
89, 0.500000,
90, 0.700000,
91, 0.300000,
92, 0.700000,
93, 0.700000,
94, 0.500000,
95, 0.800000,
96, 0.800000,
97, 0.800000,
98, 0.600000,
99, 0.500000,
100, 0.700000,
101, 0.700000,
102, 0.600000,
103, 0.800000,
104, 0.600000,
105, 0.800000,
106, 0.600000,
107, 0.600000,
108, 0.500000,
109, 1.000000,
110, 1.000000,
111, 0.600000,
112, 1.000000,
113, 0.500000,
114, 0.800000,
115, 0.800000,
116, 0.600000,
117, 0.700000,
118, 0.400000,
119, 0.600000,
120, 0.800000,
121, 0.800000,
122, 0.800000,
123, 0.700000,
124, 0.800000,
125, 0.700000,
126, 0.700000,
127, 0.600000,
128, 0.500000,
129, 0.700000,
130, 0.600000,
131, 0.700000,
132, 0.900000,
133, 0.600000,
134, 0.900000,
135, 0.800000,
136, 0.900000,
137, 0.700000,
138, 0.500000,
139, 0.400000,
140, 0.600000,
141, 0.700000,
142, 0.900000,
143, 0.900000,
144, 0.900000,
145, 0.800000,
146, 0.600000,
147, 0.800000,
148, 0.600000,
149, 0.800000,
150, 0.800000,
151, 0.900000,
152, 0.800000,
153, 0.800000,
154, 0.500000,
155, 0.600000,
156, 0.600000,
157, 0.700000,
158, 0.600000,
159, 0.800000,
160, 0.700000,
161, 0.500000,
162, 0.600000,
163, 0.600000,
164, 0.600000,
165, 0.800000,
166, 0.800000,
167, 0.700000,
168, 0.800000,
169, 0.700000,
170, 1.000000,
171, 0.700000,
172, 0.700000,
173, 0.500000,
174, 0.700000,
175, 0.800000,
176, 0.600000,
177, 0.700000,
178, 0.800000,
179, 0.700000,
180, 0.700000,
181, 0.900000,
182, 1.000000,
183, 0.900000,
184, 0.800000,
185, 0.700000,
186, 0.700000,
187, 0.700000,
188, 0.900000,
189, 0.600000,
190, 0.400000,
191, 0.800000,
192, 0.800000,
193, 0.900000,
194, 0.600000,
195, 0.800000,
196, 0.600000,
197, 0.700000,
198, 0.700000,
199, 0.900000,
