100 Rounds, Wins,
1, 0.380000,
2, 0.260000,
3, 0.660000,
4, 0.480000,
5, 0.540000,
6, 0.520000,
7, 0.660000,
8, 0.660000,
9, 0.720000,
10, 0.700000,
11, 0.740000,
12, 0.740000,
13, 0.720000,
14, 0.740000,
15, 0.620000,
16, 0.700000,
17, 0.780000,
18, 0.700000,
19, 0.600000,
20, 0.680000,
21, 0.700000,
22, 0.740000,
23, 0.740000,
24, 0.620000,
25, 0.760000,
26, 0.620000,
27, 0.780000,
28, 0.620000,
29, 0.840000,
30, 0.720000,
31, 0.720000,
32, 0.680000,
33, 0.620000,
34, 0.800000,
35, 0.680000,
36, 0.700000,
37, 0.860000,
38, 0.660000,
39, 0.780000,
