per Round, AccumReward,
1, 0.080000,
2, -0.820000,
3, -0.660000,
4, -1.060000,
5, -1.021460,
6, -1.080000,
7, -0.640000,
8, -0.660000,
9, -0.615593,
10, -1.000000,
11, -1.722000,
12, -1.980000,
13, -1.020000,
14, -0.236543,
15, -0.460000,
16, -0.660000,
17, 0.320000,
18, -0.069169,
19, 0.560000,
20, -1.236000,
21, -1.966886,
22, -0.700000,
23, 0.245035,
24, -0.720000,
25, 0.716000,
26, -1.020000,
27, 0.200000,
28, -0.491333,
29, 0.123958,
30, 0.284870,
31, -0.840000,
32, -0.160000,
33, 0.080000,
34, -0.760000,
35, 0.473003,
36, -1.020000,
37, -2.040000,
38, -1.020000,
39, 0.140000,
