perRounds, Wins,
1, 0.100000,
2, 0.400000,
3, 0.000000,
4, 0.300000,
5, 0.400000,
6, 0.500000,
7, 0.800000,
8, 0.600000,
9, 0.500000,
10, 0.700000,
11, 0.800000,
12, 0.500000,
13, 0.400000,
14, 0.500000,
15, 0.600000,
16, 0.600000,
17, 0.700000,
18, 0.600000,
19, 0.600000,
20, 0.700000,
21, 0.600000,
22, 0.800000,
23, 0.600000,
24, 0.700000,
25, 0.600000,
26, 0.600000,
27, 0.400000,
28, 0.800000,
29, 0.900000,
30, 0.400000,
31, 0.800000,
32, 0.600000,
33, 0.700000,
34, 0.700000,
35, 0.500000,
36, 0.800000,
37, 0.700000,
38, 0.600000,
39, 0.500000,
40, 0.500000,
41, 0.600000,
42, 0.400000,
43, 0.600000,
44, 0.400000,
45, 0.700000,
46, 0.300000,
47, 0.800000,
48, 0.300000,
49, 0.600000,
50, 0.800000,
51, 0.600000,
52, 0.800000,
53, 0.700000,
54, 0.800000,
55, 0.800000,
56, 0.700000,
57, 0.700000,
58, 0.500000,
59, 0.800000,
60, 0.600000,
61, 0.800000,
62, 0.800000,
63, 0.700000,
64, 0.800000,
65, 0.600000,
66, 0.600000,
67, 0.800000,
68, 0.600000,
69, 0.900000,
70, 0.700000,
71, 0.200000,
72, 0.600000,
73, 0.600000,
74, 0.400000,
75, 0.600000,
76, 0.700000,
77, 0.900000,
78, 0.900000,
79, 0.900000,
80, 0.600000,
81, 0.700000,
82, 0.700000,
83, 0.800000,
84, 0.700000,
85, 0.700000,
86, 0.500000,
87, 0.600000,
88, 0.700000,
89, 0.800000,
90, 0.500000,
91, 0.600000,
92, 0.600000,
93, 0.700000,
94, 0.500000,
95, 0.500000,
96, 0.500000,
97, 0.700000,
98, 0.400000,
99, 0.700000,
100, 0.500000,
101, 0.900000,
102, 0.600000,
103, 0.600000,
104, 0.800000,
105, 0.900000,
106, 0.800000,
107, 0.700000,
108, 0.800000,
109, 0.300000,
110, 0.800000,
111, 0.800000,
112, 0.700000,
113, 0.600000,
114, 0.800000,
115, 0.700000,
116, 0.600000,
117, 0.700000,
118, 0.800000,
119, 0.700000,
120, 0.700000,
121, 0.800000,
122, 0.800000,
123, 0.500000,
124, 0.400000,
125, 0.700000,
126, 0.500000,
127, 0.600000,
128, 0.900000,
129, 0.400000,
130, 0.600000,
131, 0.700000,
132, 0.900000,
133, 0.800000,
134, 0.800000,
135, 1.000000,
136, 0.700000,
137, 0.500000,
138, 0.400000,
139, 0.800000,
140, 0.400000,
141, 0.700000,
142, 0.600000,
143, 0.700000,
144, 0.300000,
145, 0.400000,
146, 0.900000,
147, 0.500000,
148, 0.600000,
149, 0.400000,
150, 0.700000,
151, 0.700000,
152, 0.900000,
153, 0.700000,
154, 0.800000,
155, 0.600000,
156, 0.700000,
157, 0.600000,
158, 0.500000,
159, 0.600000,
160, 0.700000,
161, 0.300000,
162, 0.400000,
163, 0.400000,
164, 0.600000,
165, 0.600000,
166, 0.300000,
167, 0.600000,
168, 0.500000,
169, 0.600000,
170, 0.700000,
171, 0.600000,
172, 0.500000,
173, 0.500000,
174, 0.800000,
175, 0.900000,
176, 0.600000,
177, 0.900000,
178, 0.800000,
179, 0.400000,
180, 0.500000,
181, 0.800000,
182, 0.800000,
183, 0.900000,
184, 0.700000,
185, 0.700000,
186, 0.600000,
187, 0.700000,
188, 0.800000,
189, 0.700000,
190, 0.600000,
191, 0.600000,
192, 0.500000,
193, 0.600000,
194, 0.800000,
195, 0.600000,
196, 0.500000,
197, 0.600000,
198, 0.700000,
199, 0.600000,
