100 Rounds, Wins,
1, 0.240000,
2, 0.620000,
3, 0.560000,
4, 0.640000,
5, 0.660000,
6, 0.620000,
7, 0.660000,
8, 0.620000,
9, 0.540000,
10, 0.560000,
11, 0.740000,
12, 0.660000,
13, 0.740000,
14, 0.720000,
15, 0.480000,
16, 0.800000,
17, 0.720000,
18, 0.620000,
19, 0.580000,
20, 0.560000,
21, 0.760000,
22, 0.680000,
23, 0.720000,
24, 0.700000,
25, 0.640000,
26, 0.600000,
27, 0.840000,
28, 0.560000,
29, 0.540000,
30, 0.620000,
31, 0.740000,
32, 0.620000,
33, 0.460000,
34, 0.540000,
35, 0.660000,
36, 0.640000,
37, 0.780000,
38, 0.680000,
39, 0.620000,
