per Round, AccumReward,
1, -0.600000,
2, -1.080000,
3, -0.960000,
4, 0.020000,
5, -0.420000,
6, -0.360000,
7, 0.320000,
8, -1.140000,
9, -0.900000,
10, -0.580000,
11, -0.580000,
12, -1.080000,
13, -1.080000,
14, -0.900000,
15, -1.260000,
16, -0.900000,
17, -1.060000,
18, 0.120288,
19, -0.291010,
20, -1.260000,
21, -1.080000,
22, -0.067373,
23, -0.400000,
24, -1.500000,
25, -0.700000,
26, -0.840000,
27, -0.720000,
28, -0.280000,
29, -1.200000,
30, -1.560000,
31, -0.580000,
32, -1.240000,
33, -0.304000,
34, -1.850012,
35, -1.060000,
36, -0.480000,
37, -0.940000,
38, -0.799607,
39, -0.940000,
40, -0.760000,
41, -1.080000,
42, -0.940000,
43, -0.816357,
44, -0.100000,
45, -0.580000,
46, -0.621766,
47, -0.140107,
48, -1.696000,
49, -1.740000,
50, -1.090436,
51, -0.640000,
52, -0.520000,
53, -1.060000,
54, -0.640000,
55, -1.204000,
56, -1.120000,
57, -2.160000,
58, -1.005366,
59, -0.940000,
