perRounds, Wins,
1, 0.400000,
2, 0.700000,
3, 0.700000,
4, 0.800000,
5, 0.600000,
6, 0.700000,
7, 0.800000,
8, 0.800000,
9, 0.700000,
10, 0.600000,
11, 0.100000,
12, 0.400000,
13, 0.700000,
14, 0.400000,
15, 0.100000,
16, 0.000000,
17, 0.000000,
18, 0.500000,
19, 0.600000,
20, 0.500000,
21, 0.400000,
22, 0.600000,
23, 0.600000,
24, 0.700000,
25, 0.300000,
26, 0.600000,
27, 0.700000,
28, 0.700000,
29, 0.700000,
30, 0.500000,
31, 0.800000,
32, 0.700000,
33, 0.600000,
34, 1.000000,
35, 0.700000,
36, 0.100000,
37, 0.100000,
38, 0.100000,
39, 0.200000,
40, 0.200000,
41, 0.300000,
42, 0.200000,
43, 0.400000,
44, 0.200000,
45, 0.100000,
46, 0.400000,
47, 0.100000,
48, 0.300000,
49, 0.400000,
50, 0.400000,
51, 0.300000,
52, 0.400000,
53, 0.300000,
54, 0.200000,
55, 0.500000,
56, 0.400000,
57, 0.300000,
58, 0.200000,
59, 0.200000,
60, 0.200000,
61, 0.200000,
62, 0.200000,
63, 0.300000,
64, 0.300000,
65, 0.100000,
66, 0.100000,
67, 0.300000,
68, 0.200000,
69, 0.100000,
70, 0.100000,
71, 0.500000,
72, 0.400000,
73, 0.300000,
74, 0.100000,
75, 0.300000,
76, 0.400000,
77, 0.200000,
78, 0.100000,
79, 0.300000,
80, 0.300000,
81, 0.300000,
82, 0.200000,
83, 0.400000,
84, 0.200000,
85, 0.200000,
86, 0.300000,
87, 0.300000,
88, 0.300000,
89, 0.400000,
90, 0.400000,
91, 0.300000,
92, 0.300000,
93, 0.400000,
94, 0.300000,
95, 0.200000,
96, 0.400000,
97, 0.300000,
98, 0.200000,
99, 0.200000,
100, 0.000000,
101, 0.300000,
102, 0.300000,
103, 0.100000,
104, 0.200000,
105, 0.200000,
106, 0.000000,
107, 0.100000,
108, 0.300000,
109, 0.200000,
110, 0.400000,
111, 0.300000,
112, 0.300000,
113, 0.300000,
114, 0.300000,
115, 0.500000,
116, 0.200000,
117, 0.300000,
118, 0.200000,
119, 0.300000,
120, 0.300000,
121, 0.200000,
122, 0.000000,
123, 0.500000,
124, 0.300000,
125, 0.200000,
126, 0.100000,
127, 0.200000,
128, 0.300000,
129, 0.200000,
130, 0.000000,
131, 0.500000,
132, 0.400000,
133, 0.300000,
134, 0.300000,
135, 0.300000,
136, 0.500000,
137, 0.300000,
138, 0.600000,
139, 0.100000,
140, 0.600000,
141, 0.400000,
142, 0.800000,
143, 0.700000,
144, 0.900000,
145, 0.700000,
146, 0.600000,
147, 0.900000,
148, 0.800000,
149, 0.600000,
150, 0.200000,
151, 0.800000,
152, 0.700000,
153, 0.600000,
154, 0.800000,
155, 1.000000,
156, 1.000000,
157, 0.700000,
158, 0.900000,
159, 0.800000,
160, 1.000000,
161, 0.600000,
162, 0.900000,
163, 1.000000,
164, 1.000000,
165, 0.700000,
166, 0.900000,
167, 1.000000,
168, 0.800000,
169, 0.900000,
170, 0.700000,
171, 0.700000,
172, 0.900000,
173, 0.900000,
174, 1.000000,
175, 0.800000,
176, 0.900000,
177, 0.900000,
178, 0.800000,
179, 0.800000,
180, 1.000000,
181, 0.600000,
182, 0.900000,
183, 0.900000,
184, 0.600000,
185, 1.000000,
186, 0.900000,
187, 0.800000,
188, 0.800000,
189, 0.900000,
190, 0.900000,
191, 0.900000,
192, 0.700000,
193, 0.900000,
194, 0.800000,
195, 0.800000,
196, 0.800000,
197, 0.800000,
198, 0.700000,
199, 0.700000,
200, 1.000000,
201, 0.800000,
202, 0.900000,
203, 0.700000,
204, 0.800000,
205, 1.000000,
206, 0.900000,
207, 0.800000,
208, 0.700000,
209, 0.600000,
210, 0.900000,
211, 0.800000,
212, 1.000000,
213, 0.900000,
214, 0.800000,
215, 0.900000,
216, 1.000000,
217, 0.800000,
218, 0.900000,
219, 0.800000,
220, 0.900000,
221, 0.800000,
222, 1.000000,
223, 0.900000,
224, 0.800000,
225, 0.900000,
226, 0.900000,
227, 0.900000,
228, 1.000000,
229, 0.800000,
230, 0.800000,
231, 0.900000,
232, 0.700000,
233, 1.000000,
234, 0.900000,
235, 1.000000,
236, 0.800000,
237, 0.700000,
238, 0.700000,
239, 0.600000,
240, 0.500000,
241, 0.600000,
242, 0.700000,
243, 0.800000,
244, 0.800000,
245, 0.400000,
246, 0.500000,
247, 0.800000,
248, 0.900000,
249, 0.600000,
250, 0.900000,
251, 0.500000,
252, 0.600000,
253, 0.600000,
254, 0.900000,
255, 1.000000,
256, 0.900000,
257, 0.900000,
258, 0.900000,
259, 0.700000,
260, 0.900000,
261, 0.800000,
262, 0.900000,
263, 1.000000,
264, 0.800000,
265, 0.800000,
266, 0.500000,
267, 0.700000,
268, 0.500000,
269, 0.700000,
270, 0.600000,
271, 1.000000,
272, 0.700000,
273, 0.700000,
274, 1.000000,
275, 1.000000,
276, 0.800000,
277, 0.700000,
278, 0.600000,
279, 0.900000,
280, 0.800000,
281, 0.800000,
282, 1.000000,
283, 0.800000,
284, 0.900000,
285, 0.800000,
286, 0.600000,
287, 0.900000,
288, 0.800000,
289, 0.800000,
290, 0.900000,
291, 0.900000,
292, 0.900000,
293, 0.900000,
294, 1.000000,
295, 1.000000,
296, 0.700000,
297, 0.700000,
298, 0.700000,
299, 0.900000,
