100 Rounds, Wins,
1, 0.640000,
2, 0.720000,
3, 0.340000,
4, 0.320000,
5, 0.520000,
6, 0.640000,
7, 0.760000,
8, 0.140000,
9, 0.240000,
10, 0.320000,
11, 0.340000,
12, 0.260000,
13, 0.220000,
14, 0.160000,
15, 0.320000,
16, 0.260000,
17, 0.260000,
18, 0.340000,
19, 0.300000,
20, 0.220000,
21, 0.220000,
22, 0.200000,
23, 0.340000,
24, 0.260000,
25, 0.240000,
26, 0.160000,
27, 0.360000,
28, 0.420000,
29, 0.700000,
30, 0.620000,
31, 0.780000,
32, 0.880000,
33, 0.840000,
34, 0.860000,
35, 0.860000,
36, 0.880000,
37, 0.800000,
38, 0.860000,
39, 0.820000,
40, 0.800000,
41, 0.840000,
42, 0.780000,
43, 0.880000,
44, 0.880000,
45, 0.880000,
46, 0.880000,
47, 0.900000,
48, 0.660000,
49, 0.660000,
50, 0.740000,
51, 0.720000,
52, 0.860000,
53, 0.860000,
54, 0.600000,
55, 0.880000,
56, 0.760000,
57, 0.860000,
58, 0.800000,
59, 0.940000,
