per Round, AccumReward,
1, -1.500000,
2, -2.220000,
3, -1.620000,
4, -0.900000,
5, -2.280000,
6, 0.320000,
7, -1.140000,
8, -1.140245,
9, -1.260000,
10, -0.960000,
11, -0.280000,
12, 0.020000,
13, -0.600000,
14, -0.660000,
15, -1.440000,
16, 0.860000,
17, -1.320000,
18, -2.340000,
19, -1.740000,
20, -2.160000,
21, 0.572924,
22, -0.626875,
23, -2.167200,
24, -0.820000,
25, -2.862000,
26, -0.760000,
27, -1.800000,
28, -1.560000,
29, -0.540000,
30, -1.980000,
31, -0.700000,
32, -1.680000,
33, -1.099650,
34, -1.080000,
35, -1.380000,
36, -1.514542,
37, -1.200000,
38, -1.380000,
39, -1.800000,
40, 0.195371,
41, 0.860000,
42, -1.560000,
43, -1.500000,
44, -1.500000,
45, -1.260000,
46, -1.140000,
47, -1.800000,
48, -1.683212,
49, -1.500000,
50, -1.200000,
51, -2.280000,
52, -1.980000,
53, -1.060000,
54, -1.620000,
55, -1.440000,
56, -1.440000,
57, -0.900000,
58, -1.320000,
59, -1.020000,
