perRounds, Wins,
1, 0.000000,
2, 0.000000,
3, 0.000000,
4, 0.100000,
5, 0.000000,
6, 0.000000,
7, 0.000000,
8, 0.100000,
9, 0.100000,
10, 0.000000,
11, 0.000000,
12, 0.000000,
13, 0.000000,
14, 0.000000,
15, 0.000000,
16, 0.000000,
17, 0.000000,
18, 0.000000,
19, 0.100000,
20, 0.000000,
21, 0.100000,
22, 0.000000,
23, 0.000000,
24, 0.000000,
25, 0.000000,
26, 0.000000,
27, 0.000000,
28, 0.100000,
29, 0.000000,
30, 0.100000,
31, 0.000000,
32, 0.000000,
33, 0.000000,
34, 0.000000,
35, 0.100000,
36, 0.000000,
37, 0.000000,
38, 0.000000,
39, 0.000000,
40, 0.000000,
41, 0.000000,
42, 0.000000,
43, 0.000000,
44, 0.000000,
45, 0.100000,
46, 0.000000,
47, 0.200000,
48, 0.000000,
49, 0.000000,
50, 0.100000,
51, 0.100000,
52, 0.000000,
53, 0.000000,
54, 0.000000,
55, 0.100000,
56, 0.100000,
57, 0.100000,
58, 0.200000,
59, 0.300000,
60, 0.800000,
61, 0.300000,
62, 0.400000,
63, 0.800000,
64, 0.900000,
65, 0.200000,
66, 0.200000,
67, 0.000000,
68, 0.100000,
69, 0.100000,
70, 0.400000,
71, 0.200000,
72, 0.000000,
73, 0.000000,
74, 0.200000,
75, 0.100000,
76, 0.000000,
77, 0.000000,
78, 0.400000,
79, 0.000000,
80, 0.500000,
81, 0.600000,
82, 0.700000,
83, 0.800000,
84, 0.200000,
85, 0.200000,
86, 0.200000,
87, 0.000000,
88, 0.200000,
89, 0.800000,
90, 0.500000,
91, 0.300000,
92, 0.200000,
93, 0.100000,
94, 0.100000,
95, 0.200000,
96, 0.300000,
97, 0.000000,
98, 0.100000,
99, 0.300000,
100, 0.100000,
101, 0.100000,
102, 0.000000,
103, 0.100000,
104, 0.700000,
105, 0.600000,
106, 0.200000,
107, 0.400000,
108, 0.400000,
109, 0.100000,
110, 0.000000,
111, 0.100000,
112, 0.200000,
113, 0.000000,
114, 0.000000,
115, 0.000000,
116, 0.300000,
117, 0.000000,
118, 0.000000,
119, 0.200000,
120, 0.400000,
121, 0.500000,
122, 0.400000,
123, 0.200000,
124, 0.400000,
125, 0.500000,
126, 0.300000,
127, 0.300000,
128, 0.500000,
129, 0.300000,
130, 0.700000,
131, 0.100000,
132, 0.000000,
133, 0.100000,
134, 0.000000,
135, 0.100000,
136, 0.000000,
137, 0.100000,
138, 0.100000,
139, 0.100000,
140, 0.000000,
141, 0.000000,
142, 0.000000,
143, 0.300000,
144, 0.100000,
145, 0.100000,
146, 0.100000,
147, 0.000000,
148, 0.200000,
149, 0.200000,
150, 0.000000,
151, 0.100000,
152, 0.000000,
153, 0.300000,
154, 0.100000,
155, 0.300000,
156, 0.100000,
157, 0.000000,
158, 0.100000,
159, 0.200000,
160, 0.400000,
161, 0.200000,
162, 0.000000,
163, 0.500000,
164, 0.200000,
165, 0.200000,
166, 0.200000,
167, 0.100000,
168, 0.100000,
169, 0.400000,
170, 0.000000,
171, 0.100000,
172, 0.300000,
173, 0.200000,
174, 0.200000,
175, 0.200000,
176, 0.100000,
177, 0.000000,
178, 0.100000,
179, 0.100000,
180, 0.300000,
181, 0.300000,
182, 0.100000,
183, 0.600000,
184, 0.300000,
185, 0.100000,
186, 0.100000,
187, 0.000000,
188, 0.400000,
189, 0.100000,
190, 0.000000,
191, 0.400000,
192, 0.200000,
193, 0.200000,
194, 0.100000,
195, 0.200000,
196, 0.400000,
197, 0.000000,
198, 0.000000,
199, 0.400000,
200, 0.500000,
201, 0.500000,
202, 0.300000,
203, 0.400000,
204, 0.200000,
205, 0.400000,
206, 0.300000,
207, 0.300000,
208, 0.000000,
209, 0.400000,
210, 0.100000,
211, 0.200000,
212, 0.400000,
213, 0.400000,
214, 0.300000,
215, 0.300000,
216, 0.700000,
217, 0.200000,
218, 0.100000,
219, 0.100000,
220, 0.000000,
221, 0.000000,
222, 0.000000,
223, 0.100000,
224, 0.100000,
225, 0.100000,
226, 0.200000,
227, 0.500000,
228, 0.200000,
229, 0.400000,
230, 0.100000,
231, 0.200000,
232, 0.200000,
233, 0.200000,
234, 0.600000,
235, 0.200000,
236, 0.000000,
237, 0.000000,
238, 0.200000,
239, 0.000000,
240, 0.400000,
241, 0.000000,
242, 0.100000,
243, 0.100000,
244, 0.100000,
245, 0.000000,
246, 0.000000,
247, 0.000000,
248, 0.100000,
249, 0.100000,
250, 0.100000,
251, 0.000000,
252, 0.100000,
253, 0.000000,
254, 0.000000,
255, 0.100000,
256, 0.000000,
257, 0.100000,
258, 0.200000,
259, 0.000000,
260, 0.100000,
261, 0.000000,
262, 0.000000,
263, 0.100000,
264, 0.000000,
265, 0.100000,
266, 0.000000,
267, 0.200000,
268, 0.000000,
269, 0.000000,
270, 0.000000,
271, 0.100000,
272, 0.100000,
273, 0.100000,
274, 0.000000,
275, 0.100000,
276, 0.000000,
277, 0.000000,
278, 0.000000,
279, 0.000000,
280, 0.200000,
281, 0.100000,
282, 0.000000,
283, 0.100000,
284, 0.000000,
285, 0.100000,
286, 0.000000,
287, 0.200000,
288, 0.400000,
289, 0.000000,
290, 0.400000,
291, 0.300000,
292, 0.300000,
293, 0.400000,
294, 0.100000,
295, 0.000000,
296, 0.200000,
297, 0.300000,
298, 0.300000,
299, 0.400000,
