100 Rounds, Wins,
1, 0.020000,
2, 0.040000,
3, 0.000000,
4, 0.020000,
5, 0.020000,
6, 0.040000,
7, 0.020000,
8, 0.000000,
9, 0.020000,
10, 0.060000,
11, 0.040000,
12, 0.300000,
13, 0.520000,
14, 0.160000,
15, 0.100000,
16, 0.180000,
17, 0.500000,
18, 0.340000,
19, 0.180000,
20, 0.160000,
21, 0.300000,
22, 0.220000,
23, 0.060000,
24, 0.180000,
25, 0.400000,
26, 0.420000,
27, 0.060000,
28, 0.060000,
29, 0.100000,
30, 0.100000,
31, 0.160000,
32, 0.160000,
33, 0.220000,
34, 0.160000,
35, 0.200000,
36, 0.120000,
37, 0.280000,
38, 0.120000,
39, 0.220000,
40, 0.260000,
41, 0.360000,
42, 0.220000,
43, 0.320000,
44, 0.220000,
45, 0.060000,
46, 0.280000,
47, 0.280000,
48, 0.120000,
49, 0.060000,
50, 0.060000,
51, 0.040000,
52, 0.080000,
53, 0.040000,
54, 0.040000,
55, 0.080000,
56, 0.040000,
57, 0.060000,
58, 0.200000,
59, 0.220000,
