per Round, AccumReward,
1, -0.780000,
2, -0.960000,
3, -1.020000,
4, -0.960000,
5, -1.200000,
6, -0.840000,
7, -0.540000,
8, -0.960000,
9, -0.600000,
10, -0.100000,
11, -0.540000,
12, -1.140000,
13, -0.960000,
14, 0.200000,
15, -0.720000,
16, -0.600000,
17, -0.480000,
18, -0.660000,
19, -1.068205,
20, -0.480000,
21, -0.840000,
22, -0.720000,
23, -0.840000,
24, -0.232624,
25, -1.140000,
26, -0.720000,
27, -1.176000,
28, -1.260000,
29, -0.960999,
30, -0.960000,
31, -0.762000,
32, -1.020000,
33, -0.720000,
34, -0.660000,
35, -0.600000,
36, -0.960000,
37, -0.780000,
38, -1.020000,
39, 0.174186,
40, -1.260000,
41, -0.600000,
42, -1.020000,
43, -1.200000,
44, -0.900000,
45, -0.780000,
46, -0.660000,
47, 0.380000,
48, 0.260000,
49, 0.301180,
50, 0.440000,
51, -0.220000,
52, -0.520000,
53, -0.900000,
54, -0.720000,
55, -1.020000,
56, -0.720000,
57, 0.620000,
58, -0.345683,
59, -0.786000,
60, -1.020000,
61, -0.400000,
62, -0.283488,
63, -1.080000,
64, -0.665032,
65, -1.020000,
66, -0.540000,
67, -0.900000,
68, 0.221024,
69, -0.160000,
70, -0.900000,
71, -0.400000,
72, -0.923135,
73, -0.880000,
74, -1.680000,
75, -1.500000,
76, -0.640000,
77, -1.020000,
78, -1.080000,
79, -0.960000,
80, -1.200000,
81, -0.900000,
82, -1.140000,
83, -0.840000,
84, -0.960000,
85, -0.720000,
86, -0.900000,
87, -0.780000,
88, -0.720000,
89, -0.280000,
90, -0.780000,
91, -0.780000,
92, -0.720000,
93, -0.220000,
94, -0.540000,
95, -0.280000,
96, -0.220000,
97, -0.520000,
98, 0.080000,
99, -0.420000,
100, -0.900000,
101, -0.340000,
102, -0.780000,
103, -0.780000,
104, -0.480000,
105, -0.400000,
106, -1.076540,
107, -0.400000,
108, -0.160000,
109, -0.640000,
110, -0.840000,
111, -1.200000,
112, -0.220000,
113, -1.566000,
114, -0.520000,
115, -0.888691,
116, -1.140000,
117, -0.780000,
118, -0.220000,
119, -0.780000,
