perRounds, Wins,
1, 0.000000,
2, 0.000000,
3, 0.000000,
4, 0.000000,
5, 0.000000,
6, 0.000000,
7, 0.000000,
8, 0.100000,
9, 0.000000,
10, 0.000000,
11, 0.100000,
12, 0.000000,
13, 0.200000,
14, 0.000000,
15, 0.000000,
16, 0.200000,
17, 0.000000,
18, 0.100000,
19, 0.100000,
20, 0.000000,
21, 0.200000,
22, 0.000000,
23, 0.000000,
24, 0.000000,
25, 0.100000,
26, 0.000000,
27, 0.000000,
28, 0.300000,
29, 0.000000,
30, 0.100000,
31, 0.000000,
32, 0.200000,
33, 0.100000,
34, 0.000000,
35, 0.000000,
36, 0.200000,
37, 0.000000,
38, 0.000000,
39, 0.200000,
40, 0.100000,
41, 0.000000,
42, 0.000000,
43, 0.100000,
44, 0.100000,
45, 0.000000,
46, 0.100000,
47, 0.000000,
48, 0.000000,
49, 0.100000,
50, 0.200000,
51, 0.000000,
52, 0.100000,
53, 0.100000,
54, 0.000000,
55, 0.000000,
56, 0.000000,
57, 0.000000,
58, 0.200000,
59, 0.100000,
60, 0.000000,
61, 0.100000,
62, 0.000000,
63, 0.200000,
64, 0.000000,
65, 0.100000,
66, 0.000000,
67, 0.000000,
68, 0.000000,
69, 0.100000,
70, 0.200000,
71, 0.700000,
72, 0.300000,
73, 0.300000,
74, 0.000000,
75, 0.100000,
76, 0.100000,
77, 0.200000,
78, 0.300000,
79, 0.100000,
80, 0.100000,
81, 0.000000,
82, 0.100000,
83, 0.100000,
84, 0.300000,
85, 0.000000,
86, 0.000000,
87, 0.000000,
88, 0.000000,
89, 0.100000,
90, 0.100000,
91, 0.100000,
92, 0.200000,
93, 0.300000,
94, 0.000000,
95, 0.000000,
96, 0.100000,
97, 0.200000,
98, 0.300000,
99, 0.100000,
100, 0.000000,
101, 0.100000,
102, 0.000000,
103, 0.100000,
104, 0.000000,
105, 0.000000,
106, 0.000000,
107, 0.100000,
108, 0.000000,
109, 0.100000,
110, 0.000000,
111, 0.000000,
112, 0.000000,
113, 0.000000,
114, 0.100000,
115, 0.100000,
116, 0.100000,
117, 0.300000,
118, 0.000000,
119, 0.100000,
120, 0.100000,
121, 0.000000,
122, 0.100000,
123, 0.000000,
124, 0.500000,
125, 0.000000,
126, 0.100000,
127, 0.000000,
128, 0.100000,
129, 0.100000,
130, 0.000000,
131, 0.000000,
132, 0.000000,
133, 0.000000,
134, 0.100000,
135, 0.000000,
136, 0.200000,
137, 0.200000,
138, 0.000000,
139, 0.000000,
140, 0.000000,
141, 0.000000,
142, 0.000000,
143, 0.000000,
144, 0.000000,
145, 0.100000,
146, 0.100000,
147, 0.100000,
148, 0.100000,
149, 0.100000,
150, 0.100000,
151, 0.000000,
152, 0.000000,
153, 0.100000,
154, 0.000000,
155, 0.100000,
156, 0.100000,
157, 0.000000,
158, 0.000000,
159, 0.000000,
160, 0.000000,
161, 0.000000,
162, 0.100000,
163, 0.000000,
164, 0.000000,
165, 0.000000,
166, 0.000000,
167, 0.000000,
168, 0.000000,
169, 0.000000,
170, 0.000000,
171, 0.000000,
172, 0.000000,
173, 0.000000,
174, 0.000000,
175, 0.000000,
176, 0.000000,
177, 0.100000,
178, 0.000000,
179, 0.000000,
180, 0.000000,
181, 0.200000,
182, 0.100000,
183, 0.000000,
184, 0.000000,
185, 0.000000,
186, 0.000000,
187, 0.000000,
188, 0.000000,
189, 0.000000,
190, 0.000000,
191, 0.000000,
192, 0.100000,
193, 0.000000,
194, 0.100000,
195, 0.100000,
196, 0.000000,
197, 0.000000,
198, 0.000000,
199, 0.000000,
200, 0.000000,
201, 0.000000,
202, 0.000000,
203, 0.000000,
204, 0.000000,
205, 0.100000,
206, 0.000000,
207, 0.000000,
208, 0.100000,
209, 0.000000,
210, 0.000000,
211, 0.000000,
212, 0.000000,
213, 0.000000,
214, 0.000000,
215, 0.000000,
216, 0.100000,
217, 0.100000,
218, 0.000000,
219, 0.100000,
220, 0.000000,
221, 0.100000,
222, 0.000000,
223, 0.000000,
224, 0.000000,
225, 0.000000,
226, 0.000000,
227, 0.200000,
228, 0.000000,
229, 0.200000,
230, 0.100000,
231, 0.000000,
232, 0.300000,
233, 0.000000,
234, 0.200000,
235, 1.000000,
236, 0.900000,
237, 1.000000,
238, 1.000000,
239, 0.900000,
240, 0.900000,
241, 0.900000,
242, 0.900000,
243, 0.900000,
244, 1.000000,
245, 1.000000,
246, 0.900000,
247, 1.000000,
248, 1.000000,
249, 1.000000,
250, 1.000000,
251, 1.000000,
252, 0.900000,
253, 1.000000,
254, 0.900000,
255, 1.000000,
256, 1.000000,
257, 0.900000,
258, 1.000000,
259, 1.000000,
260, 0.900000,
261, 1.000000,
262, 0.900000,
263, 0.900000,
264, 0.900000,
265, 0.600000,
266, 0.400000,
267, 0.400000,
268, 0.100000,
269, 0.200000,
270, 0.000000,
271, 0.000000,
272, 0.200000,
273, 0.300000,
274, 0.100000,
275, 0.300000,
276, 0.200000,
277, 0.300000,
278, 0.100000,
279, 0.200000,
280, 0.200000,
281, 0.300000,
282, 0.800000,
283, 1.000000,
284, 0.900000,
285, 0.800000,
286, 0.000000,
287, 0.300000,
288, 0.600000,
289, 0.500000,
290, 0.400000,
291, 0.700000,
292, 0.500000,
293, 0.200000,
294, 0.100000,
295, 0.300000,
296, 0.200000,
297, 0.300000,
298, 0.300000,
299, 0.100000,
300, 0.000000,
301, 0.200000,
302, 0.000000,
303, 0.000000,
304, 0.200000,
305, 0.700000,
306, 0.100000,
307, 0.000000,
308, 0.200000,
309, 0.300000,
310, 0.300000,
311, 0.100000,
312, 0.200000,
313, 0.300000,
314, 0.400000,
315, 0.200000,
316, 0.300000,
317, 0.000000,
318, 0.100000,
319, 0.100000,
320, 0.000000,
321, 0.100000,
322, 0.000000,
323, 0.100000,
324, 0.200000,
325, 0.100000,
326, 0.000000,
327, 0.200000,
328, 0.000000,
329, 0.000000,
330, 0.000000,
331, 0.100000,
332, 0.100000,
333, 0.300000,
334, 0.000000,
335, 0.100000,
336, 0.100000,
337, 0.000000,
338, 0.200000,
339, 0.500000,
340, 0.700000,
341, 0.800000,
342, 0.400000,
343, 0.800000,
344, 0.500000,
345, 0.800000,
346, 0.700000,
347, 0.900000,
348, 0.600000,
349, 0.700000,
350, 0.500000,
351, 0.400000,
352, 0.900000,
353, 0.700000,
354, 0.700000,
355, 0.900000,
356, 1.000000,
357, 0.800000,
358, 1.000000,
359, 1.000000,
360, 0.700000,
361, 0.900000,
362, 0.900000,
363, 1.000000,
364, 0.900000,
365, 1.000000,
366, 0.800000,
367, 0.800000,
368, 0.800000,
369, 1.000000,
370, 0.900000,
371, 0.700000,
372, 1.000000,
373, 0.800000,
374, 0.900000,
375, 0.700000,
376, 0.800000,
377, 0.800000,
378, 0.500000,
379, 0.800000,
380, 0.900000,
381, 0.900000,
382, 0.500000,
383, 0.800000,
384, 0.700000,
385, 0.500000,
386, 0.700000,
387, 0.500000,
388, 0.400000,
389, 0.300000,
390, 0.400000,
391, 0.600000,
392, 0.800000,
393, 0.500000,
394, 0.700000,
395, 0.000000,
396, 0.000000,
397, 0.100000,
398, 0.100000,
399, 0.000000,
400, 0.000000,
401, 0.000000,
402, 0.000000,
403, 0.000000,
404, 0.000000,
405, 0.000000,
406, 0.000000,
407, 0.000000,
408, 0.000000,
409, 0.000000,
410, 0.000000,
411, 0.000000,
412, 0.100000,
413, 0.100000,
414, 0.000000,
415, 0.000000,
416, 0.000000,
417, 0.500000,
418, 0.800000,
419, 0.200000,
420, 0.000000,
421, 0.000000,
422, 0.000000,
423, 0.000000,
424, 0.000000,
425, 0.100000,
426, 0.700000,
427, 0.900000,
428, 0.900000,
429, 0.600000,
430, 0.700000,
431, 1.000000,
432, 0.700000,
433, 0.700000,
434, 0.700000,
435, 0.700000,
436, 0.900000,
437, 0.400000,
438, 0.000000,
439, 0.100000,
440, 0.100000,
441, 0.100000,
442, 0.500000,
443, 0.900000,
444, 1.000000,
445, 0.700000,
446, 0.600000,
447, 0.300000,
448, 0.000000,
449, 0.100000,
450, 0.000000,
451, 0.000000,
452, 0.100000,
453, 0.000000,
454, 0.100000,
455, 0.000000,
456, 0.000000,
457, 0.000000,
458, 0.000000,
459, 0.000000,
460, 0.000000,
461, 0.000000,
462, 0.000000,
463, 0.000000,
464, 0.000000,
465, 0.500000,
466, 0.200000,
467, 0.200000,
468, 0.400000,
469, 0.500000,
470, 0.200000,
471, 0.500000,
472, 0.600000,
473, 0.700000,
474, 0.600000,
475, 0.700000,
476, 0.700000,
477, 0.700000,
478, 0.700000,
479, 0.600000,
480, 0.800000,
481, 0.800000,
482, 0.900000,
483, 0.800000,
484, 0.400000,
485, 0.600000,
486, 0.600000,
487, 0.200000,
488, 0.700000,
489, 0.600000,
490, 0.700000,
491, 0.700000,
492, 0.600000,
493, 0.500000,
494, 0.400000,
495, 1.000000,
496, 0.500000,
497, 0.600000,
498, 0.600000,
499, 0.300000,
500, 0.600000,
501, 0.700000,
502, 0.700000,
503, 0.500000,
504, 0.400000,
505, 0.700000,
506, 0.600000,
507, 0.500000,
508, 0.300000,
509, 0.600000,
510, 0.400000,
511, 0.500000,
512, 0.600000,
513, 0.600000,
514, 0.700000,
515, 0.500000,
516, 0.700000,
517, 0.600000,
518, 0.700000,
519, 0.700000,
520, 0.800000,
521, 0.300000,
522, 0.700000,
523, 0.500000,
524, 0.600000,
525, 0.700000,
526, 0.900000,
527, 0.200000,
528, 0.600000,
529, 0.800000,
530, 0.500000,
531, 0.700000,
532, 0.900000,
533, 0.800000,
534, 1.000000,
535, 0.900000,
536, 1.000000,
537, 0.800000,
538, 1.000000,
539, 1.000000,
540, 0.800000,
541, 0.900000,
542, 1.000000,
543, 1.000000,
544, 0.900000,
545, 0.900000,
546, 0.900000,
547, 0.700000,
548, 0.900000,
549, 0.700000,
550, 0.700000,
551, 0.400000,
552, 0.600000,
553, 0.900000,
554, 0.900000,
555, 0.600000,
556, 0.800000,
557, 0.800000,
558, 0.800000,
559, 0.900000,
560, 1.000000,
561, 0.800000,
562, 0.900000,
563, 0.800000,
564, 1.000000,
565, 0.900000,
566, 0.700000,
567, 0.600000,
568, 0.700000,
569, 0.600000,
570, 0.800000,
571, 0.900000,
572, 0.800000,
573, 0.500000,
574, 0.900000,
575, 0.600000,
576, 0.500000,
577, 0.500000,
578, 0.600000,
579, 0.500000,
580, 0.400000,
581, 0.200000,
582, 0.300000,
583, 0.700000,
584, 0.500000,
585, 0.300000,
586, 0.100000,
587, 0.100000,
588, 0.100000,
589, 0.100000,
590, 0.800000,
591, 0.600000,
592, 0.500000,
593, 0.400000,
594, 0.400000,
595, 0.400000,
596, 0.300000,
597, 0.600000,
598, 0.600000,
599, 0.400000,
