100 Rounds, Wins,
1, 0.000000,
2, 0.020000,
3, 0.060000,
4, 0.080000,
5, 0.060000,
6, 0.080000,
7, 0.060000,
8, 0.100000,
9, 0.040000,
10, 0.080000,
11, 0.040000,
12, 0.060000,
13, 0.080000,
14, 0.060000,
15, 0.280000,
16, 0.160000,
17, 0.100000,
18, 0.040000,
19, 0.120000,
20, 0.140000,
21, 0.040000,
22, 0.040000,
23, 0.040000,
24, 0.120000,
25, 0.120000,
26, 0.060000,
27, 0.020000,
28, 0.080000,
29, 0.020000,
30, 0.100000,
31, 0.040000,
32, 0.020000,
33, 0.020000,
34, 0.000000,
35, 0.000000,
36, 0.020000,
37, 0.060000,
38, 0.000000,
39, 0.060000,
40, 0.000000,
41, 0.020000,
42, 0.020000,
43, 0.000000,
44, 0.060000,
45, 0.020000,
46, 0.100000,
47, 0.300000,
48, 0.940000,
49, 0.940000,
50, 0.980000,
51, 0.960000,
52, 0.960000,
53, 0.860000,
54, 0.220000,
55, 0.180000,
56, 0.200000,
57, 0.760000,
58, 0.360000,
59, 0.360000,
60, 0.180000,
61, 0.220000,
62, 0.180000,
63, 0.240000,
64, 0.100000,
65, 0.100000,
66, 0.040000,
67, 0.120000,
68, 0.300000,
69, 0.660000,
70, 0.680000,
71, 0.720000,
72, 0.900000,
73, 0.940000,
74, 0.860000,
75, 0.820000,
76, 0.760000,
77, 0.680000,
78, 0.460000,
79, 0.520000,
80, 0.040000,
81, 0.000000,
82, 0.000000,
83, 0.040000,
84, 0.300000,
85, 0.020000,
86, 0.760000,
87, 0.760000,
88, 0.300000,
89, 0.640000,
90, 0.200000,
91, 0.040000,
92, 0.000000,
93, 0.100000,
94, 0.300000,
95, 0.620000,
96, 0.700000,
97, 0.700000,
98, 0.560000,
99, 0.640000,
100, 0.520000,
101, 0.600000,
102, 0.480000,
103, 0.580000,
104, 0.700000,
105, 0.560000,
106, 0.600000,
107, 0.860000,
108, 0.920000,
109, 0.940000,
110, 0.780000,
111, 0.680000,
112, 0.860000,
113, 0.880000,
114, 0.680000,
115, 0.740000,
116, 0.500000,
117, 0.400000,
118, 0.240000,
119, 0.460000,
