100 Rounds, Wins,
1, 0.010000,
2, 0.070000,
3, 0.070000,
4, 0.080000,
5, 0.060000,
6, 0.050000,
7, 0.070000,
8, 0.220000,
9, 0.070000,
10, 0.130000,
11, 0.040000,
12, 0.080000,
13, 0.090000,
14, 0.050000,
15, 0.060000,
16, 0.030000,
17, 0.010000,
18, 0.010000,
19, 0.030000,
20, 0.030000,
21, 0.020000,
22, 0.030000,
23, 0.060000,
24, 0.620000,
25, 0.960000,
26, 0.960000,
27, 0.540000,
28, 0.190000,
29, 0.560000,
30, 0.270000,
31, 0.200000,
32, 0.170000,
33, 0.070000,
34, 0.210000,
35, 0.670000,
36, 0.810000,
37, 0.900000,
38, 0.790000,
39, 0.570000,
40, 0.280000,
41, 0.000000,
42, 0.170000,
43, 0.390000,
44, 0.530000,
45, 0.420000,
46, 0.020000,
47, 0.200000,
48, 0.660000,
49, 0.630000,
50, 0.580000,
51, 0.540000,
52, 0.640000,
53, 0.580000,
54, 0.890000,
55, 0.860000,
56, 0.770000,
57, 0.780000,
58, 0.620000,
59, 0.320000,
