per Round, AccumReward,
1, 0.000000,
2, 0.200000,
3, 0.000000,
4, 0.200000,
5, 0.000000,
6, 0.000000,
7, 0.200000,
8, 0.000000,
9, 0.000000,
10, 0.200000,
11, 0.200000,
12, 0.200000,
13, 0.200000,
14, 0.000000,
15, 0.000000,
16, 0.000000,
17, 0.200000,
18, 0.000000,
19, 0.000000,
20, 0.000000,
21, 0.000000,
22, 0.000000,
23, 0.200000,
24, 0.000000,
25, 0.000000,
26, 0.000000,
27, 0.200000,
28, 0.200000,
29, 0.000000,
30, 0.000000,
31, 0.000000,
32, 0.000000,
33, 0.200000,
34, 0.200000,
35, 0.200000,
36, 0.200000,
37, 0.200000,
38, 0.000000,
39, 0.200000,
40, 0.000000,
41, 0.000000,
42, 0.200000,
43, 0.200000,
44, 0.200000,
45, 0.200000,
46, 0.000000,
47, 0.000000,
48, 0.200000,
49, 0.000000,
50, 0.000000,
51, 0.000000,
52, 0.200000,
53, 0.200000,
54, 0.200000,
55, 0.200000,
56, 0.000000,
57, 0.200000,
58, 0.200000,
59, 0.000000,
