perRounds, Wins,
1, 0.700000,
2, 0.600000,
3, 0.400000,
4, 0.200000,
5, 0.500000,
6, 0.500000,
7, 0.600000,
8, 0.500000,
9, 0.900000,
10, 0.500000,
11, 0.800000,
12, 0.600000,
13, 0.600000,
14, 0.800000,
15, 0.700000,
16, 0.700000,
17, 0.800000,
18, 0.500000,
19, 0.600000,
20, 0.700000,
21, 0.500000,
22, 0.600000,
23, 0.600000,
24, 0.600000,
25, 0.700000,
26, 0.600000,
27, 0.800000,
28, 0.700000,
29, 0.800000,
30, 0.700000,
31, 0.700000,
32, 0.700000,
33, 0.500000,
34, 0.800000,
35, 0.700000,
36, 0.600000,
37, 0.800000,
38, 0.700000,
39, 0.700000,
40, 0.900000,
41, 0.800000,
42, 0.700000,
43, 0.600000,
44, 0.800000,
45, 0.400000,
46, 0.700000,
47, 0.700000,
48, 0.800000,
49, 0.400000,
50, 0.700000,
51, 0.700000,
52, 0.700000,
53, 0.400000,
54, 0.500000,
55, 0.900000,
56, 0.800000,
57, 0.400000,
58, 0.400000,
59, 0.600000,
60, 0.900000,
61, 0.600000,
62, 0.500000,
63, 0.800000,
64, 0.800000,
65, 0.700000,
66, 0.900000,
67, 0.800000,
68, 0.800000,
69, 0.900000,
70, 0.100000,
71, 0.500000,
72, 0.400000,
73, 0.300000,
74, 0.800000,
75, 0.400000,
76, 0.800000,
77, 0.700000,
78, 0.600000,
79, 0.500000,
80, 0.600000,
81, 0.900000,
82, 0.500000,
83, 0.400000,
84, 0.700000,
85, 0.500000,
86, 0.600000,
87, 0.400000,
88, 0.800000,
89, 0.600000,
90, 0.600000,
91, 0.500000,
92, 0.600000,
93, 0.600000,
94, 0.700000,
95, 0.800000,
96, 0.500000,
97, 0.500000,
98, 0.300000,
99, 0.500000,
100, 0.100000,
101, 0.300000,
102, 0.000000,
103, 0.200000,
104, 0.600000,
105, 0.500000,
106, 0.700000,
107, 0.500000,
108, 0.500000,
109, 0.300000,
110, 0.500000,
111, 0.700000,
112, 0.900000,
113, 0.800000,
114, 0.800000,
115, 0.800000,
116, 0.400000,
117, 0.700000,
118, 0.700000,
119, 0.300000,
120, 0.200000,
121, 0.500000,
122, 0.400000,
123, 0.500000,
124, 0.600000,
125, 0.600000,
126, 0.600000,
127, 0.700000,
128, 0.100000,
129, 0.300000,
130, 0.100000,
131, 0.400000,
132, 0.700000,
133, 0.900000,
134, 0.800000,
135, 0.700000,
136, 0.600000,
137, 1.000000,
138, 0.700000,
139, 0.700000,
140, 0.700000,
141, 0.800000,
142, 0.800000,
143, 0.900000,
144, 0.900000,
145, 0.700000,
146, 0.600000,
147, 0.500000,
148, 0.700000,
149, 0.900000,
150, 0.500000,
151, 0.600000,
152, 0.600000,
153, 0.100000,
154, 0.100000,
155, 0.100000,
156, 0.800000,
157, 0.900000,
158, 0.700000,
159, 0.800000,
160, 0.600000,
161, 0.800000,
162, 0.500000,
163, 0.900000,
164, 0.800000,
165, 0.900000,
166, 0.700000,
167, 0.900000,
168, 0.700000,
169, 0.700000,
170, 0.900000,
171, 0.700000,
172, 0.700000,
173, 0.500000,
174, 0.400000,
175, 0.700000,
176, 1.000000,
177, 0.800000,
178, 0.900000,
179, 0.500000,
180, 0.400000,
181, 0.500000,
182, 0.600000,
183, 0.500000,
184, 0.800000,
185, 0.800000,
186, 0.600000,
187, 0.800000,
188, 0.800000,
189, 0.900000,
190, 0.400000,
191, 0.500000,
192, 0.500000,
193, 0.500000,
194, 0.300000,
195, 0.500000,
196, 0.700000,
197, 0.600000,
198, 0.800000,
199, 0.500000,
200, 0.800000,
201, 0.500000,
202, 0.500000,
203, 0.700000,
204, 0.500000,
205, 0.300000,
206, 0.700000,
207, 0.600000,
208, 0.700000,
209, 0.800000,
210, 0.700000,
211, 0.700000,
212, 0.700000,
213, 0.600000,
214, 0.700000,
215, 0.400000,
216, 0.600000,
217, 0.700000,
218, 0.400000,
219, 0.800000,
220, 0.800000,
221, 0.900000,
222, 0.200000,
223, 0.500000,
224, 0.400000,
225, 0.500000,
226, 0.700000,
227, 0.600000,
228, 0.800000,
229, 0.700000,
230, 0.500000,
231, 0.800000,
232, 0.600000,
233, 0.600000,
234, 0.800000,
235, 0.500000,
236, 0.500000,
237, 0.500000,
238, 0.500000,
239, 0.400000,
240, 0.400000,
241, 0.800000,
242, 0.400000,
243, 0.700000,
244, 0.600000,
245, 0.700000,
246, 0.600000,
247, 0.300000,
248, 0.800000,
249, 0.200000,
250, 0.700000,
251, 0.800000,
252, 0.700000,
253, 0.600000,
254, 0.900000,
255, 0.800000,
256, 0.900000,
257, 0.500000,
258, 0.500000,
259, 0.900000,
260, 0.800000,
261, 0.700000,
262, 0.800000,
263, 0.600000,
264, 0.700000,
265, 0.800000,
266, 0.900000,
267, 0.700000,
268, 0.700000,
269, 0.700000,
270, 0.800000,
271, 0.600000,
272, 0.800000,
273, 0.700000,
274, 0.800000,
275, 0.700000,
276, 0.900000,
277, 0.700000,
278, 0.900000,
279, 0.800000,
280, 0.800000,
281, 0.900000,
282, 0.500000,
283, 0.900000,
284, 0.700000,
285, 0.600000,
286, 0.800000,
287, 1.000000,
288, 0.700000,
289, 0.200000,
290, 0.800000,
291, 0.600000,
292, 0.600000,
293, 0.800000,
294, 0.300000,
295, 0.700000,
296, 0.900000,
297, 0.800000,
298, 0.500000,
299, 0.700000,
