100 Rounds, Wins,
1, 0.480000,
2, 0.600000,
3, 0.700000,
4, 0.660000,
5, 0.600000,
6, 0.720000,
7, 0.680000,
8, 0.740000,
9, 0.660000,
10, 0.660000,
11, 0.640000,
12, 0.620000,
13, 0.680000,
14, 0.700000,
15, 0.480000,
16, 0.640000,
17, 0.600000,
18, 0.600000,
19, 0.640000,
20, 0.380000,
21, 0.320000,
22, 0.500000,
23, 0.800000,
24, 0.460000,
25, 0.520000,
26, 0.360000,
27, 0.700000,
28, 0.740000,
29, 0.820000,
30, 0.640000,
31, 0.300000,
32, 0.760000,
33, 0.780000,
34, 0.780000,
35, 0.600000,
36, 0.720000,
37, 0.640000,
38, 0.700000,
39, 0.460000,
40, 0.680000,
41, 0.500000,
42, 0.700000,
43, 0.620000,
44, 0.660000,
45, 0.500000,
46, 0.660000,
47, 0.660000,
48, 0.460000,
49, 0.640000,
50, 0.520000,
51, 0.760000,
52, 0.720000,
53, 0.720000,
54, 0.760000,
55, 0.720000,
56, 0.820000,
57, 0.720000,
58, 0.700000,
59, 0.600000,
