perRounds, Wins,
1, 1.000000,
2, 0.800000,
3, 0.900000,
4, 1.000000,
5, 1.000000,
6, 1.000000,
7, 1.000000,
8, 1.000000,
9, 1.000000,
10, 1.000000,
11, 1.000000,
12, 1.000000,
13, 1.000000,
14, 1.000000,
15, 1.000000,
16, 1.000000,
17, 1.000000,
18, 1.000000,
19, 0.900000,
20, 1.000000,
21, 0.900000,
22, 1.000000,
23, 1.000000,
24, 0.900000,
25, 0.900000,
26, 1.000000,
27, 1.000000,
28, 1.000000,
29, 0.900000,
30, 0.900000,
31, 1.000000,
32, 1.000000,
33, 0.900000,
34, 1.000000,
35, 1.000000,
36, 0.900000,
37, 1.000000,
38, 1.000000,
39, 1.000000,
40, 0.900000,
41, 0.900000,
42, 1.000000,
43, 1.000000,
44, 1.000000,
45, 0.900000,
46, 1.000000,
47, 0.900000,
48, 1.000000,
49, 1.000000,
50, 0.900000,
51, 1.000000,
52, 1.000000,
53, 1.000000,
54, 1.000000,
55, 1.000000,
56, 1.000000,
57, 0.900000,
58, 1.000000,
59, 1.000000,
60, 1.000000,
61, 1.000000,
62, 1.000000,
63, 1.000000,
64, 1.000000,
65, 1.000000,
66, 1.000000,
67, 1.000000,
68, 1.000000,
69, 1.000000,
70, 1.000000,
71, 1.000000,
72, 1.000000,
73, 0.900000,
74, 1.000000,
75, 1.000000,
76, 1.000000,
77, 1.000000,
78, 1.000000,
79, 1.000000,
80, 1.000000,
81, 1.000000,
82, 1.000000,
83, 1.000000,
84, 1.000000,
85, 1.000000,
86, 1.000000,
87, 1.000000,
88, 1.000000,
89, 0.900000,
90, 1.000000,
91, 1.000000,
92, 1.000000,
93, 1.000000,
94, 1.000000,
95, 1.000000,
96, 1.000000,
97, 0.900000,
98, 1.000000,
99, 0.800000,
100, 1.000000,
101, 1.000000,
102, 0.900000,
103, 1.000000,
104, 1.000000,
105, 1.000000,
106, 1.000000,
107, 1.000000,
108, 0.900000,
109, 1.000000,
110, 1.000000,
111, 0.900000,
112, 1.000000,
113, 1.000000,
114, 0.900000,
115, 1.000000,
116, 1.000000,
117, 1.000000,
118, 0.900000,
119, 1.000000,
120, 1.000000,
121, 1.000000,
122, 0.900000,
123, 1.000000,
124, 1.000000,
125, 0.900000,
126, 1.000000,
127, 1.000000,
128, 1.000000,
129, 1.000000,
130, 1.000000,
131, 1.000000,
132, 1.000000,
133, 1.000000,
134, 0.900000,
135, 1.000000,
136, 1.000000,
137, 1.000000,
138, 1.000000,
139, 1.000000,
140, 1.000000,
141, 0.900000,
142, 1.000000,
143, 1.000000,
144, 1.000000,
145, 0.900000,
146, 1.000000,
147, 0.900000,
148, 1.000000,
149, 1.000000,
150, 1.000000,
151, 1.000000,
152, 1.000000,
153, 1.000000,
154, 0.900000,
155, 1.000000,
156, 1.000000,
157, 1.000000,
158, 1.000000,
159, 1.000000,
160, 0.900000,
161, 1.000000,
162, 1.000000,
163, 1.000000,
164, 1.000000,
165, 1.000000,
166, 1.000000,
167, 1.000000,
168, 1.000000,
169, 1.000000,
170, 1.000000,
171, 1.000000,
172, 0.900000,
173, 1.000000,
174, 1.000000,
175, 1.000000,
176, 1.000000,
177, 1.000000,
178, 0.900000,
179, 1.000000,
180, 0.900000,
181, 1.000000,
182, 1.000000,
183, 1.000000,
184, 1.000000,
185, 1.000000,
186, 0.900000,
187, 1.000000,
188, 1.000000,
189, 1.000000,
190, 1.000000,
191, 1.000000,
192, 1.000000,
193, 1.000000,
194, 0.900000,
195, 1.000000,
196, 1.000000,
197, 0.900000,
198, 1.000000,
199, 1.000000,
