100 Rounds, Wins,
1, 0.500000,
2, 0.520000,
3, 0.520000,
4, 0.500000,
5, 0.520000,
6, 0.520000,
7, 0.560000,
8, 0.660000,
9, 0.560000,
10, 0.460000,
11, 0.540000,
12, 0.520000,
13, 0.640000,
14, 0.520000,
15, 0.500000,
16, 0.640000,
17, 0.460000,
18, 0.600000,
19, 0.580000,
20, 0.560000,
21, 0.500000,
22, 0.580000,
23, 0.560000,
24, 0.620000,
25, 0.600000,
26, 0.460000,
27, 0.640000,
28, 0.560000,
29, 0.660000,
30, 0.560000,
31, 0.540000,
32, 0.500000,
33, 0.480000,
34, 0.480000,
35, 0.540000,
36, 0.480000,
37, 0.500000,
38, 0.440000,
39, 0.460000,
40, 0.400000,
41, 0.480000,
42, 0.640000,
43, 0.500000,
44, 0.440000,
45, 0.580000,
46, 0.540000,
47, 0.420000,
48, 0.520000,
49, 0.480000,
50, 0.540000,
51, 0.380000,
52, 0.560000,
53, 0.540000,
54, 0.460000,
55, 0.540000,
56, 0.540000,
57, 0.500000,
58, 0.600000,
59, 0.600000,
60, 0.540000,
61, 0.560000,
62, 0.460000,
63, 0.480000,
64, 0.540000,
65, 0.560000,
66, 0.580000,
67, 0.600000,
68, 0.480000,
69, 0.620000,
70, 0.500000,
71, 0.460000,
72, 0.540000,
73, 0.600000,
74, 0.520000,
75, 0.580000,
76, 0.540000,
77, 0.480000,
78, 0.460000,
79, 0.340000,
80, 0.620000,
81, 0.480000,
82, 0.560000,
83, 0.580000,
84, 0.540000,
85, 0.520000,
86, 0.400000,
87, 0.600000,
88, 0.480000,
89, 0.420000,
90, 0.480000,
91, 0.660000,
92, 0.540000,
93, 0.420000,
94, 0.480000,
95, 0.440000,
96, 0.560000,
97, 0.440000,
