100 Rounds, Wins,
1, 0.370000,
2, 0.300000,
3, 0.300000,
4, 0.340000,
5, 0.360000,
6, 0.350000,
7, 0.370000,
8, 0.300000,
9, 0.320000,
10, 0.370000,
11, 0.330000,
12, 0.280000,
13, 0.340000,
14, 0.350000,
15, 0.300000,
16, 0.270000,
17, 0.270000,
18, 0.350000,
19, 0.240000,
20, 0.390000,
21, 0.330000,
22, 0.380000,
23, 0.400000,
24, 0.270000,
25, 0.310000,
26, 0.320000,
27, 0.340000,
28, 0.360000,
29, 0.300000,
30, 0.370000,
31, 0.360000,
32, 0.300000,
33, 0.310000,
34, 0.320000,
35, 0.340000,
36, 0.300000,
37, 0.280000,
38, 0.380000,
39, 0.270000,
40, 0.340000,
41, 0.280000,
42, 0.280000,
43, 0.350000,
44, 0.300000,
45, 0.320000,
46, 0.290000,
47, 0.380000,
48, 0.340000,
49, 0.400000,
50, 0.390000,
51, 0.420000,
52, 0.280000,
53, 0.310000,
54, 0.360000,
55, 0.430000,
56, 0.330000,
57, 0.340000,
58, 0.210000,
59, 0.360000,
60, 0.360000,
61, 0.400000,
62, 0.320000,
63, 0.420000,
64, 0.250000,
65, 0.380000,
66, 0.370000,
67, 0.320000,
68, 0.290000,
69, 0.350000,
70, 0.360000,
71, 0.300000,
72, 0.300000,
73, 0.340000,
74, 0.270000,
75, 0.340000,
76, 0.350000,
77, 0.350000,
78, 0.410000,
79, 0.290000,
80, 0.380000,
81, 0.270000,
82, 0.330000,
83, 0.330000,
84, 0.320000,
85, 0.300000,
86, 0.290000,
87, 0.300000,
88, 0.330000,
89, 0.320000,
90, 0.380000,
91, 0.320000,
92, 0.340000,
93, 0.330000,
94, 0.380000,
95, 0.340000,
96, 0.310000,
97, 0.340000,
98, 0.320000,
99, 0.340000,
100, 0.320000,
101, 0.280000,
102, 0.310000,
103, 0.260000,
104, 0.310000,
105, 0.360000,
106, 0.360000,
107, 0.280000,
108, 0.360000,
109, 0.390000,
110, 0.320000,
111, 0.350000,
112, 0.270000,
113, 0.280000,
114, 0.360000,
115, 0.370000,
116, 0.340000,
117, 0.300000,
118, 0.290000,
119, 0.350000,
120, 0.320000,
121, 0.300000,
122, 0.280000,
123, 0.350000,
124, 0.350000,
125, 0.310000,
126, 0.310000,
127, 0.250000,
128, 0.230000,
129, 0.270000,
130, 0.350000,
131, 0.340000,
132, 0.230000,
133, 0.270000,
134, 0.310000,
135, 0.240000,
136, 0.290000,
137, 0.330000,
138, 0.400000,
139, 0.340000,
140, 0.340000,
141, 0.430000,
142, 0.290000,
143, 0.350000,
144, 0.380000,
145, 0.250000,
146, 0.360000,
147, 0.350000,
148, 0.310000,
149, 0.280000,
150, 0.320000,
151, 0.310000,
152, 0.310000,
153, 0.360000,
154, 0.300000,
155, 0.310000,
156, 0.310000,
157, 0.340000,
158, 0.390000,
159, 0.240000,
160, 0.350000,
161, 0.270000,
162, 0.330000,
163, 0.290000,
164, 0.380000,
165, 0.300000,
166, 0.360000,
167, 0.250000,
168, 0.200000,
169, 0.330000,
170, 0.320000,
171, 0.390000,
172, 0.340000,
173, 0.410000,
174, 0.290000,
175, 0.330000,
176, 0.380000,
177, 0.320000,
178, 0.330000,
179, 0.320000,
180, 0.340000,
181, 0.310000,
182, 0.410000,
183, 0.250000,
184, 0.310000,
185, 0.330000,
186, 0.300000,
187, 0.370000,
188, 0.280000,
189, 0.380000,
190, 0.240000,
191, 0.260000,
192, 0.340000,
193, 0.370000,
194, 0.330000,
195, 0.360000,
196, 0.330000,
197, 0.290000,
198, 0.250000,
199, 0.320000,
